#Mean	244.622
#Median	249
#Mode	271
#STDev	32.127
#PercentOfPairs	47.612
#InsertSize	Count
125	7
126	42
127	117
128	137
129	163
130	180
131	153
132	200
133	201
134	235
135	262
136	279
137	296
138	351
139	340
140	429
141	392
142	463
143	458
144	493
145	555
146	564
147	577
148	637
149	742
150	710
151	827
152	838
153	868
154	967
155	1037
156	1083
157	1147
158	1195
159	1304
160	1377
161	1488
162	1495
163	1643
164	1757
165	1820
166	2002
167	1957
168	2157
169	2269
170	2285
171	2496
172	2559
173	2811
174	2784
175	3046
176	3087
177	3219
178	3439
179	3633
180	3748
181	4071
182	4041
183	4457
184	4397
185	4605
186	4749
187	5167
188	5345
189	5372
190	5688
191	5856
192	6155
193	6396
194	6412
195	6668
196	6998
197	7213
198	7484
199	7624
200	7898
201	8159
202	8319
203	8703
204	8996
205	9141
206	9661
207	9666
208	10056
209	10469
210	10644
211	10793
212	11095
213	11405
214	11510
215	11934
216	12253
217	12453
218	12641
219	13119
220	13206
221	13704
222	13878
223	14108
224	14650
225	14704
226	14881
227	15162
228	15532
229	15854
230	15792
231	16391
232	16293
233	16528
234	16772
235	17043
236	17183
237	17391
238	17766
239	18103
240	18396
241	18415
242	18471
243	18668
244	19108
245	19150
246	19139
247	19249
248	19774
249	20094
250	19848
251	20270
252	20350
253	20376
254	20451
255	20670
256	20522
257	20372
258	20810
259	20905
260	20903
261	20788
262	20782
263	21136
264	20912
265	21133
266	20949
267	21083
268	20869
269	21094
270	20844
271	21220
272	20917
273	20572
274	20683
275	20303
276	20447
277	20408
278	20358
279	20331
280	20170
281	20309
282	19902
283	19750
284	20096
285	19509
286	19670
287	19398
288	19245
289	18552
290	17843
291	16925
292	15027
293	10687
294	1269
