start, 2016-06-24 11:04:41
filter start, 2016-06-24 11:04:42
filter finish, 2016-06-24 11:04:56
removeCommonMicrobes start, 2016-06-24 11:04:56
removeCommonMicrobes finish, 2016-06-24 11:05:25
delete temp files start, 2016-06-24 11:05:25
delete temp files finish, 2016-06-24 11:05:25
dehumanize start, 2016-06-24 11:05:25
dehumanize finish, 2016-06-24 11:09:16
delete temp files start, 2016-06-24 11:09:16
delete temp files finish, 2016-06-24 11:09:16
merge start, 2016-06-24 11:09:16
merge finish, 2016-06-24 11:09:28
complete, 2016-06-24 11:09:28
