#Mean	228.274
#Median	232
#Mode	248
#STDev	40.181
#PercentOfPairs	31.101
#InsertSize	Count
58	1
62	1
92	1
108	1
114	1
121	1
122	1
123	3
125	26
126	153
127	374
128	542
129	680
130	723
131	735
132	786
133	811
134	903
135	889
136	957
137	1071
138	1158
139	1220
140	1270
141	1277
142	1435
143	1475
144	1538
145	1611
146	1669
147	1816
148	1902
149	1937
150	2065
151	2071
152	2128
153	2276
154	2322
155	2458
156	2666
157	2586
158	2731
159	2842
160	2939
161	3047
162	3157
163	3140
164	3350
165	3488
166	3585
167	3662
168	3721
169	3875
170	3849
171	3896
172	4225
173	4075
174	4311
175	4297
176	4392
177	4403
178	4530
179	4731
180	4748
181	4903
182	4896
183	5010
184	5126
185	5163
186	5178
187	5351
188	5379
189	5431
190	5645
191	5803
192	5522
193	5853
194	5741
195	5719
196	6061
197	5868
198	6107
199	6244
200	6110
201	6371
202	6293
203	6129
204	6254
205	6433
206	6399
207	6571
208	6513
209	6635
210	6538
211	6759
212	6740
213	6845
214	6693
215	6698
216	6876
217	6991
218	6855
219	7063
220	7121
221	7112
222	7263
223	7093
224	7086
225	7330
226	7138
227	7228
228	7355
229	7305
230	7414
231	7295
232	7326
233	7501
234	7521
235	7343
236	7535
237	7475
238	7502
239	7433
240	7350
241	7387
242	7590
243	7511
244	7559
245	7508
246	7485
247	7564
248	7840
249	7503
250	7680
251	7698
252	7811
253	7508
254	7800
255	7675
256	7649
257	7687
258	7830
259	7635
260	7664
261	7689
262	7571
263	7680
264	7672
265	7566
266	7605
267	7781
268	7554
269	7687
270	7666
271	7548
272	7753
273	7715
274	7666
275	7503
276	7654
277	7555
278	7586
279	7489
280	7613
281	7308
282	7195
283	7337
284	7337
285	7393
286	7345
287	7329
288	6935
289	6882
290	6731
291	6269
292	5384
293	3906
294	482
