#Mean	241.561
#Median	246
#Mode	260
#STDev	33.673
#PercentOfPairs	50.538
#InsertSize	Count
125	4
126	42
127	149
128	213
129	251
130	256
131	240
132	298
133	317
134	315
135	343
136	410
137	422
138	416
139	464
140	527
141	564
142	594
143	626
144	686
145	780
146	781
147	836
148	831
149	937
150	961
151	1062
152	1146
153	1145
154	1282
155	1318
156	1304
157	1450
158	1542
159	1646
160	1781
161	1791
162	1903
163	1998
164	2137
165	2171
166	2282
167	2425
168	2540
169	2584
170	2775
171	2930
172	2945
173	3230
174	3376
175	3514
176	3571
177	3691
178	3836
179	4001
180	4071
181	4338
182	4433
183	4579
184	4784
185	4998
186	5150
187	5404
188	5522
189	5714
190	5961
191	6028
192	6198
193	6472
194	6706
195	6919
196	7053
197	7328
198	7342
199	7694
200	7979
201	8167
202	8357
203	8578
204	8752
205	8883
206	9247
207	9510
208	9575
209	9789
210	10016
211	10414
212	10678
213	10681
214	10856
215	11270
216	11509
217	11421
218	11674
219	12210
220	12217
221	12342
222	12736
223	12609
224	12953
225	13313
226	13424
227	13561
228	14078
229	14004
230	14267
231	14394
232	14400
233	14836
234	14900
235	15103
236	15112
237	15306
238	15600
239	15520
240	15856
241	15963
242	16036
243	16171
244	16144
245	16533
246	16319
247	16491
248	17157
249	17448
250	16807
251	17198
252	17412
253	17206
254	17308
255	17292
256	17077
257	17411
258	17208
259	17371
260	17601
261	17434
262	17587
263	17490
264	17503
265	17488
266	17292
267	17239
268	17223
269	17300
270	17323
271	17407
272	17239
273	17025
274	16950
275	17033
276	16818
277	16786
278	16548
279	16608
280	16600
281	16527
282	16303
283	16292
284	16342
285	16165
286	15793
287	15801
288	15472
289	15041
290	14344
291	13602
292	11925
293	8542
294	1047
