#Mean	229.781
#Median	234
#Mode	252
#STDev	39.730
#PercentOfPairs	38.351
#InsertSize	Count
78	2
112	1
118	1
121	1
122	3
123	1
125	22
126	216
127	519
128	797
129	841
130	937
131	1000
132	1119
133	1129
134	1135
135	1320
136	1390
137	1442
138	1510
139	1684
140	1730
141	1841
142	1871
143	2000
144	2064
145	2163
146	2363
147	2433
148	2360
149	2729
150	2774
151	2830
152	2870
153	3217
154	3237
155	3290
156	3569
157	3626
158	3641
159	3775
160	3962
161	4095
162	4171
163	4475
164	4402
165	4538
166	4754
167	4884
168	5010
169	5173
170	5178
171	5375
172	5467
173	5616
174	5687
175	5839
176	5920
177	6045
178	6446
179	6223
180	6683
181	6682
182	6649
183	6626
184	6867
185	7108
186	7157
187	7422
188	7328
189	7536
190	7688
191	7577
192	8117
193	8112
194	8087
195	8396
196	8143
197	8449
198	8389
199	8491
200	8642
201	8689
202	8834
203	8900
204	8953
205	9040
206	9245
207	9483
208	9348
209	9449
210	9391
211	9613
212	9802
213	9693
214	9808
215	10167
216	9947
217	10086
218	10139
219	10256
220	10267
221	10242
222	10254
223	10507
224	10413
225	10565
226	10758
227	10774
228	10822
229	10977
230	10861
231	11108
232	11187
233	10941
234	11092
235	11116
236	11217
237	11075
238	11391
239	10982
240	11277
241	11430
242	11075
243	11545
244	11307
245	11346
246	11547
247	11515
248	11491
249	11609
250	11621
251	11515
252	11801
253	11602
254	11595
255	11705
256	11515
257	11486
258	11750
259	11680
260	11683
261	11531
262	11587
263	11645
264	11517
265	11473
266	11535
267	11627
268	11628
269	11358
270	11581
271	11371
272	11639
273	11317
274	11258
275	11484
276	11296
277	11134
278	11356
279	11289
280	11262
281	11203
282	11053
283	10913
284	10982
285	10869
286	10856
287	10838
288	10535
289	10508
290	10009
291	9425
292	8298
293	5777
294	731
