,PSA-HM1-BAYTB-hist.txt,PSA-HM1-BAYTC-hist.txt,PSA-HM1-BAYTG-hist.txt,PSA-HM1-BAYTH-hist.txt,PSA-HP1-BAYTB-hist.txt,PSA-HP1-BAYTC-hist.txt,PSA-HP1-BAYTG-hist.txt,PSA-HP1-BAYTH-hist.txt,PSA-HS2-BAYTB-hist.txt,PSA-HS2-BAYTC-hist.txt,PSA-HS2-BAYTG-hist.txt,PSA-HS2-BAYTH-hist.txt,alpha3-BAYTB-hist.txt,alpha3-BAYTC-hist.txt,alpha3-BAYTG-hist.txt,alpha3-BAYTH-hist.txt,phix-BAYTB-hist.txt,phix-BAYTC-hist.txt,phix-BAYTG-hist.txt,phix-BAYTH-hist.txt
1,,2.0,,,,,,,,,,,,,,,,,,
3,,,1.0,,,,,,,,,,,,,,,,,
5,,,,1.0,,,,,,,,,,,,,,,,
6,,1.0,,1.0,,,,1.0,,,,,,,,,,,,
7,,,,1.0,,,,,,,,,,,,,,,,
8,,,,,,,,2.0,,,,,,,,,,,,
10,,2.0,,,,,,,,,,,,,,,,,1.0,
11,,,1.0,1.0,,,,,,,,,,,,,,,,
12,1.0,2.0,,,,1.0,,,,,,,,,,,,,,
13,,,,1.0,,,,,,,1.0,1.0,,,,,,,,
14,,,,,,,,,,,,1.0,,,,,,,,
16,,1.0,,,,,,,,,,,,,,,,,,
19,,1.0,,2.0,,,,2.0,,,,,,,,,,,,
20,1.0,2.0,,1.0,,,,,,,,,,,,,,,,
21,,,,,,,,2.0,,,,,,,,,,,,
22,,,,1.0,,,,,,,,,,,,,,,,
23,1.0,,,1.0,,,,,,,,2.0,,,,,,,,
24,,,1.0,,,,,,,1.0,,,,,,,,,,
25,,,1.0,3.0,,,,,,,,,,,,,,,,
26,,,,,,,,,,,,1.0,,,,,,,,
27,1.0,,,1.0,,,,1.0,,2.0,,,,,,,,,,
28,,3.0,2.0,,,,,,,,,,,,,,,,,
29,,,,1.0,,,,,,,,,,,,,,,,
30,1.0,3.0,,2.0,,,,,,,,,,,,,,,,
31,,1.0,1.0,4.0,,,,,,1.0,,,,,,,,,,
32,1.0,,1.0,1.0,,,,,1.0,1.0,,1.0,,,,,,,,
33,1.0,2.0,1.0,2.0,,,,,1.0,1.0,,,,,,,,,,
34,1.0,1.0,,5.0,,1.0,,,,,,,,,,,,,,
35,1.0,1.0,1.0,1.0,,,,,,,,1.0,,,,,,1.0,,
36,1.0,4.0,2.0,3.0,,,,1.0,1.0,,,,,,,,,,,
37,1.0,4.0,1.0,2.0,2.0,,,1.0,,,,2.0,,,,,,,,
38,2.0,3.0,2.0,7.0,,,,,,,,2.0,,,,,,1.0,,
39,,1.0,4.0,9.0,1.0,,,2.0,,2.0,,,,,,,,,,
40,1.0,4.0,4.0,11.0,1.0,,,,,1.0,,1.0,,,,,,,,1.0
41,1.0,2.0,,6.0,,1.0,,1.0,,1.0,,,,,,,,,,
42,3.0,3.0,2.0,11.0,,,1.0,1.0,,1.0,,1.0,,,,,,,,
43,,3.0,2.0,10.0,,1.0,,,1.0,1.0,1.0,,,,,,,,,
44,3.0,13.0,2.0,13.0,,,,4.0,2.0,1.0,,3.0,,2.0,,,,,,1.0
45,2.0,2.0,2.0,13.0,,,,,,2.0,,1.0,,1.0,,,,,,
46,1.0,9.0,3.0,12.0,,1.0,,,1.0,1.0,,7.0,,,,,,,,
47,2.0,8.0,3.0,15.0,,1.0,1.0,1.0,1.0,,2.0,1.0,,,,,,,,
48,2.0,7.0,6.0,10.0,,,,1.0,,2.0,,2.0,,1.0,,,1.0,,,
49,1.0,13.0,5.0,16.0,,1.0,,1.0,,1.0,2.0,2.0,,,,,,,,
50,4.0,13.0,2.0,9.0,,,,,,1.0,2.0,4.0,,1.0,,,1.0,,,
51,1.0,9.0,3.0,13.0,,,1.0,1.0,,1.0,,1.0,,,,,,,,
52,3.0,14.0,7.0,13.0,,1.0,,1.0,,2.0,1.0,1.0,,,,,,,,
53,3.0,15.0,8.0,20.0,1.0,,,,1.0,,,2.0,,,,,,,,
54,4.0,15.0,6.0,25.0,1.0,1.0,,,1.0,2.0,1.0,1.0,,,,,,,,
55,3.0,17.0,1.0,7.0,,2.0,,4.0,,3.0,1.0,2.0,,,,,1.0,2.0,,
56,4.0,17.0,9.0,33.0,,1.0,,,1.0,2.0,,3.0,,,,,,2.0,1.0,1.0
57,3.0,20.0,3.0,10.0,1.0,,,,,3.0,,4.0,,,,,,,1.0,
58,4.0,17.0,2.0,19.0,,2.0,,,1.0,5.0,1.0,,,,,,,,1.0,
59,5.0,13.0,6.0,17.0,,,1.0,,,4.0,1.0,1.0,,,,,,,,
60,6.0,18.0,6.0,18.0,,,,1.0,,3.0,,2.0,,,,,,,1.0,
61,1.0,17.0,3.0,20.0,,1.0,,,,6.0,,1.0,,,,,,,,
