#Mean	312.833
#Median	294
#Mode	267
#STDev	97.737
#PercentOfPairs	75.191
#InsertSize	Count
12	1
20	1
23	1
27	1
30	1
32	1
33	1
34	1
35	1
36	1
37	1
38	2
40	1
41	1
42	3
44	3
45	2
46	1
47	2
48	2
49	1
50	4
51	1
52	3
53	3
54	4
55	3
56	4
57	3
58	4
59	5
60	6
61	1
62	5
63	7
64	4
65	3
66	7
67	5
68	4
69	6
70	2
71	4
72	7
73	5
74	5
75	2
76	3
77	6
78	5
79	4
80	9
81	6
82	8
83	7
84	12
85	8
86	10
87	5
88	6
89	5
90	5
91	16
92	9
93	6
94	7
95	12
96	4
97	8
98	15
99	11
100	8
101	12
102	10
103	4
104	13
105	9
106	12
107	14
108	9
109	11
110	6
111	11
112	12
113	6
114	13
115	17
116	8
117	12
118	10
119	18
120	16
121	16
122	15
123	24
124	15
125	20
126	22
127	22
128	38
129	48
130	61
131	55
132	79
133	98
134	104
135	108
136	138
137	146
138	192
139	202
140	221
141	237
142	257
143	345
144	396
145	440
146	458
147	455
148	538
149	589
150	581
151	695
152	743
153	749
154	802
155	879
156	886
157	925
158	951
159	1040
160	1065
161	1180
162	1158
163	1295
164	1369
165	1469
166	1586
167	1561
168	1687
169	1809
170	1816
171	1972
172	2007
173	2230
174	2182
175	2387
176	2450
177	2549
178	2686
179	2886
180	2931
181	3233
182	3211
183	3483
184	3484
185	3558
186	3729
187	4048
188	4220
189	4281
190	4549
191	4589
192	4852
193	5022
194	5078
195	5267
196	5506
197	5674
198	5948
199	5982
200	6201
201	6424
202	6507
203	6790
204	7164
205	7253
206	7573
207	7574
208	7921
209	8221
210	8494
211	8462
212	8676
213	8909
214	8976
215	9511
216	9553
217	9896
218	9836
219	10303
220	10417
221	10864
222	10891
223	11113
224	11534
225	11520
226	11673
227	11935
228	12095
229	12325
230	12380
231	12951
232	12816
233	12922
234	13157
235	13251
236	13528
237	13651
238	13880
239	14122
240	14379
241	14402
242	14472
243	14624
244	15106
245	15098
246	14927
247	15072
248	15320
249	15555
250	15295
251	15530
252	15787
253	15731
254	15745
255	15854
256	15670
257	15713
258	16112
259	16022
260	16172
261	16071
262	16017
263	16245
264	16140
265	16339
266	16260
267	16344
268	15939
269	16313
270	16107
271	16320
272	16161
273	15927
274	15920
275	15598
276	15800
277	15803
278	15722
279	15720
280	15652
281	15699
282	15477
283	15305
284	15555
285	15189
286	15340
287	15296
288	15223
289	14947
290	15018
291	15020
292	14901
293	14629
294	14608
295	14292
296	14282
297	14458
298	14307
299	13855
300	14026
301	13832
302	13818
303	13771
304	13512
305	13279
306	13096
307	13285
308	13301
309	13077
310	12646
311	12643
312	12742
313	12737
314	12450
315	12372
316	12179
317	12121
318	12003
319	11787
320	11833
321	11874
322	11593
323	11588
324	11475
325	11225
326	11037
327	11244
328	10964
329	10806
330	10847
331	10490
332	10599
333	10470
334	10388
335	10282
336	10079
337	9998
338	9886
339	9742
340	9551
341	9676
342	9454
343	9481
344	9464
345	9144
346	9371
347	9062
348	8872
349	8865
350	8726
351	8619
352	8670
353	8376
354	8399
355	8177
356	7930
357	8073
358	8041
359	7895
360	8044
361	7705
362	7585
363	7520
364	7544
365	7382
366	7269
367	7303
368	7181
369	7169
370	7042
371	6908
372	7014
373	6791
374	6749
375	6612
376	6654
377	6451
378	6415
379	6428
380	6148
381	6207
382	6069
383	6063
384	6166
385	5899
386	5689
387	5763
388	5715
389	5661
390	5472
391	5705
392	5537
393	5390
394	5387
395	5322
396	5259
397	5018
398	5119
399	5080
400	4901
401	4827
402	4924
403	4816
404	4855
405	4874
406	4760
407	4516
408	4639
409	4482
410	4425
411	4295
412	4368
413	4205
414	4299
415	4218
416	4073
417	4163
418	4133
419	4008
420	4024
421	3821
422	3682
423	3842
424	3768
425	3733
426	3586
427	3623
428	3582
429	3567
430	3454
431	3428
432	3422
433	3391
434	3301
435	3360
436	3267
437	3190
438	3215
439	3184
440	3046
441	3098
442	3108
443	2927
444	2956
445	2938
446	2930
447	2850
448	2792
449	2716
450	2807
451	2800
452	2583
453	2623
454	2537
455	2556
456	2510
457	2553
458	2568
459	2480
460	2451
461	2398
462	2313
463	2241
464	2281
465	2356
466	2280
467	2273
468	2294
469	2124
470	2111
471	2067
472	2133
473	2007
474	2040
475	1924
476	1900
477	1904
478	1961
479	1898
480	1893
481	1926
482	1872
483	1819
484	1795
485	1769
486	1804
487	1672
488	1710
489	1690
490	1667
491	1525
492	1631
493	1535
494	1591
495	1555
496	1586
497	1536
498	1525
499	1559
500	1475
501	1473
502	1373
503	1468
504	1419
505	1384
506	1407
507	1323
508	1385
509	1334
510	1276
511	1282
512	1209
513	1242
514	1178
515	1209
516	1198
517	1159
518	1153
519	1154
520	1134
521	1151
522	1127
523	1061
524	1102
525	1070
526	1008
527	1071
528	1026
529	1034
530	1029
531	977
532	1026
533	981
534	980
535	991
536	905
537	874
538	871
539	951
540	882
541	895
542	896
543	841
544	797
545	828
546	832
547	812
548	809
549	827
550	808
551	786
552	734
553	744
554	754
555	735
556	726
557	699
558	723
559	659
560	679
561	683
562	647
563	655
564	681
565	623
566	689
567	659
568	574
569	568
570	593
571	614
572	584
573	588
574	586
575	543
576	599
577	539
578	529
579	535
580	548
581	506
582	512
583	479
584	548
585	541
586	459
587	496
588	474
589	504
590	490
591	420
592	432
593	457
594	436
595	461
596	474
597	452
598	427
599	480
600	403
601	434
602	374
603	385
604	416
605	404
606	400
607	362
608	379
609	371
610	368
611	369
612	328
613	349
614	374
615	363
616	395
617	334
618	345
619	317
620	330
621	330
622	312
623	326
624	325
625	283
626	309
627	284
628	290
629	304
630	280
631	283
632	275
633	277
634	264
635	269
636	280
637	276
638	250
639	260
640	281
641	264
642	212
643	286
644	251
645	240
646	240
647	248
648	232
649	226
650	248
651	236
652	231
653	234
654	209
655	198
656	198
657	219
658	202
659	218
660	172
661	191
662	203
663	175
664	207
665	197
666	155
667	194
668	182
669	181
670	200
671	197
672	163
673	172
674	162
675	180
676	179
677	178
678	146
679	150
680	169
681	167
682	169
683	161
684	161
685	158
686	138
687	147
688	161
689	135
690	148
691	104
692	136
693	128
694	139
695	125
696	123
697	143
698	115
699	134
700	135
701	122
702	122
703	114
704	127
705	126
706	101
707	121
708	147
709	123
710	118
711	114
712	115
713	107
714	118
715	127
716	118
717	117
718	115
719	112
720	106
721	101
722	100
723	98
724	118
725	88
726	87
727	101
728	93
729	91
730	113
731	96
732	92
733	94
734	95
735	85
736	81
737	100
738	91
739	83
740	94
741	106
742	85
743	70
744	98
745	85
746	71
747	74
748	86
749	74
750	80
751	76
752	70
753	82
754	66
755	71
756	71
757	75
758	78
759	70
760	79
761	66
762	68
763	72
764	54
765	57
766	64
767	58
768	58
769	68
770	58
771	52
772	53
773	61
774	53
775	51
776	70
777	46
778	56
779	46
780	57
781	54
782	59
783	59
784	49
785	44
786	50
787	42
788	54
789	57
790	65
791	49
792	41
793	51
794	61
795	47
796	46
797	45
798	44
799	48
800	47
801	46
802	39
803	46
804	35
805	38
806	50
807	41
808	55
809	48
810	54
811	38
812	31
813	42
814	33
815	51
816	45
817	42
818	24
819	42
820	40
821	36
822	41
823	39
824	27
825	35
826	41
827	32
828	30
829	40
830	40
831	31
832	36
833	46
834	31
835	43
836	34
837	36
838	25
839	22
840	40
841	26
842	29
843	36
844	29
845	28
846	30
847	28
848	33
849	32
850	33
851	31
852	25
853	36
854	35
855	19
856	24
857	25
858	23
859	27
860	30
861	32
862	37
863	30
864	24
865	27
866	22
867	14
868	27
869	30
870	30
871	24
872	25
873	27
874	22
875	26
876	33
877	20
878	27
879	25
880	25
881	18
882	20
883	25
884	23
885	20
