#Mean	415.356
#Median	373
#Mode	267
#STDev	191.765
#PercentOfPairs	74.922
#InsertSize	Count
1	2
6	1
10	2
12	2
16	1
19	1
20	2
28	3
30	3
31	1
33	2
34	1
35	1
36	4
37	4
38	3
39	1
40	4
41	2
42	3
43	3
44	13
45	2
46	9
47	8
48	7
49	13
50	13
51	9
52	14
53	15
54	15
55	17
56	17
57	20
58	17
59	13
60	18
61	17
62	20
63	17
64	16
65	9
66	18
67	15
68	15
69	16
70	19
71	16
72	21
73	14
74	13
75	17
76	19
77	29
78	18
79	22
80	19
81	23
82	27
83	20
84	19
85	31
86	21
87	24
88	27
89	27
90	24
91	23
92	35
93	28
94	26
95	31
96	28
97	18
98	40
99	29
100	16
101	33
102	24
103	36
104	39
105	55
106	43
107	58
108	42
109	35
110	37
111	50
112	41
113	28
114	45
115	34
116	43
117	51
118	41
119	43
120	62
121	58
122	64
123	63
124	65
125	79
126	101
127	106
128	170
129	195
130	183
131	249
132	257
133	281
134	414
135	414
136	416
137	533
138	539
139	616
140	723
141	750
142	802
143	1026
144	1112
145	1157
146	1189
147	1362
148	1510
149	1610
150	1652
151	1737
152	1743
153	1894
154	1925
155	2017
156	2053
157	2060
158	2141
159	2236
160	2334
161	2266
162	2418
163	2421
164	2562
165	2682
166	2773
167	2790
168	2751
169	2993
170	2968
171	2914
172	3156
173	3125
174	3271
175	3228
176	3257
177	3348
178	3371
179	3540
180	3568
181	3727
182	3688
183	3826
184	3938
185	3937
186	3923
187	4054
188	4089
189	4130
190	4312
191	4421
192	4209
193	4526
194	4365
195	4367
196	4600
197	4548
198	4627
199	4767
200	4627
201	4858
202	4800
203	4681
204	4730
205	4970
206	4956
207	5063
208	4991
209	5131
210	4999
211	5202
212	5158
213	5218
214	5200
215	5126
216	5358
217	5396
218	5290
219	5514
220	5380
221	5481
222	5654
223	5431
224	5500
225	5644
226	5623
227	5570
228	5773
229	5624
230	5739
231	5714
232	5694
233	5778
234	5823
235	5715
236	5851
237	5751
238	5782
239	5737
240	5723
241	5704
242	5891
243	5827
244	5967
245	5890
246	5791
247	5864
248	6017
249	5784
250	5861
251	5959
252	5944
253	5727
254	5980
255	5840
256	5847
257	5942
258	5986
259	5829
260	5971
261	5886
262	5766
263	5820
264	5913
265	5817
266	5892
267	6032
268	5797
269	5911
270	5923
271	5879
272	5978
273	5897
274	5947
275	5786
276	5946
277	5866
278	5878
279	5818
280	5918
281	5707
282	5607
283	5712
284	5766
285	5790
286	5730
287	5851
288	5566
289	5591
290	5666
291	5659
292	5649
293	5622
294	5566
295	5654
296	5610
297	5570
298	5469
299	5528
300	5623
301	5506
302	5330
303	5362
304	5420
305	5289
306	5415
307	5312
308	5432
309	5433
310	5295
311	5254
312	5412
313	5201
314	5355
315	5207
316	5389
317	5247
318	5268
319	5187
320	5185
321	5271
322	5102
323	5177
324	5190
325	5110
326	5194
327	4926
328	5224
329	4994
330	4889
331	4928
332	5062
333	5016
334	5048
335	5107
336	4968
337	4787
338	4826
339	4863
340	4866
341	4721
342	4887
343	4768
344	4761
345	4662
346	4696
347	4712
348	4735
349	4721
350	4724
351	4725
352	4709
353	4816
354	4713
355	4533
356	4641
357	4638
358	4572
359	4513
360	4644
361	4569
362	4555
363	4488
364	4533
365	4337
366	4463
367	4437
368	4467
369	4391
370	4442
371	4483
372	4368
373	4309
374	4438
375	4284
376	4333
377	4324
378	4244
379	4388
380	4216
381	4263
382	4173
383	4175
384	4226
385	4226
386	4057
387	4191
388	4061
389	4176
390	4192
391	4037
392	4041
393	4178
394	4002
395	4020
396	4046
397	4007
398	4087
399	4007
400	4151
401	4045
402	3981
403	3942
404	3914
405	3970
406	4071
407	3926
408	3848
409	3922
410	3860
411	3936
412	3917
413	3961
414	3893
415	3774
416	3751
417	3682
418	3808
419	3578
420	3710
421	3694
422	3789
423	3672
424	3774
425	3735
426	3692
427	3644
428	3655
429	3521
430	3506
431	3529
432	3510
433	3655
434	3658
435	3693
436	3513
437	3560
438	3598
439	3343
440	3460
441	3568
442	3429
443	3422
444	3506
445	3465
446	3559
447	3500
448	3405
449	3481
450	3446
451	3504
452	3581
453	3553
454	3414
455	3368
456	3465
457	3404
458	3357
459	3433
460	3319
461	3423
462	3336
463	3472
464	3452
465	3314
466	3264
467	3321
468	3313
469	3217
470	3154
471	3191
472	3224
473	3216
474	3090
475	3202
476	3194
477	3167
478	3215
479	3188
480	3172
481	3065
482	3167
483	3176
484	3236
485	3228
486	3056
487	3038
488	3132
489	3085
490	3175
491	3074
492	3003
493	3108
494	2998
495	2877
496	2990
497	2952
498	3055
499	2995
500	2982
501	2892
502	2885
503	2882
504	2918
505	2929
506	2938
507	2944
508	2863
509	2878
510	2735
511	2960
512	2773
513	2890
514	2817
515	2866
516	2767
517	2796
518	2699
519	2725
520	2741
521	2748
522	2632
523	2709
524	2563
525	2693
526	2687
527	2680
528	2731
529	2683
530	2693
531	2666
532	2623
533	2663
534	2689
535	2716
536	2646
537	2660
538	2660
539	2735
540	2630
541	2690
542	2622
543	2627
544	2634
545	2579
546	2599
547	2580
548	2610
549	2607
550	2581
551	2471
552	2484
553	2510
554	2408
555	2516
556	2480
557	2456
558	2560
559	2514
560	2605
561	2459
562	2492
563	2426
564	2491
565	2487
566	2471
567	2391
568	2443
569	2380
570	2388
571	2447
572	2306
573	2380
574	2393
575	2253
576	2350
577	2454
578	2401
579	2307
580	2328
581	2254
582	2276
583	2292
584	2297
585	2260
586	2273
587	2223
588	2307
589	2253
590	2189
591	2160
592	2262
593	2234
594	2261
595	2122
596	2295
597	2130
598	2128
599	2161
600	2140
601	2239
602	2167
603	2085
604	2119
605	2091
606	2051
607	2104
608	2101
609	2139
610	2086
611	2092
612	2118
613	2044
614	2041
615	2136
616	2118
617	2015
