#Mean	308.712
#Median	288
#Mode	264
#STDev	105.354
#PercentOfPairs	78.425
#InsertSize	Count
3	1
11	1
24	1
25	1
28	2
31	1
32	1
33	1
35	1
36	2
37	1
38	2
39	4
40	4
42	2
43	2
44	2
45	2
46	3
47	3
48	6
49	5
50	2
51	3
52	7
53	8
54	6
55	1
56	9
57	3
58	2
59	6
60	6
61	3
62	8
63	4
64	4
66	13
67	3
68	5
69	12
70	9
71	9
72	4
73	13
74	13
75	9
76	6
77	7
78	10
79	6
80	13
81	19
82	4
83	9
84	12
85	9
86	12
87	6
88	8
89	11
90	18
91	7
92	15
93	14
94	14
95	17
96	18
97	12
98	14
99	8
100	5
101	10
102	10
103	13
104	14
105	25
106	16
107	13
108	15
109	18
110	15
111	16
112	18
113	12
114	20
115	13
116	18
117	16
118	22
119	24
120	23
121	26
122	19
123	27
124	24
125	31
126	39
127	69
128	89
129	83
130	92
131	105
132	124
133	141
134	158
135	177
136	200
137	215
138	234
139	283
140	313
141	344
142	377
143	457
144	546
145	641
146	618
147	649
148	735
149	860
150	826
151	975
152	991
153	1013
154	1139
155	1130
156	1107
157	1233
158	1290
159	1365
160	1456
161	1477
162	1577
163	1661
164	1720
165	1775
166	1842
167	1987
168	2104
169	2131
170	2264
171	2388
172	2385
173	2618
174	2776
175	2916
176	2921
177	3004
178	3122
179	3286
180	3323
181	3576
182	3641
183	3770
184	3906
185	4105
186	4216
187	4461
188	4529
189	4687
190	4898
191	4884
192	5100
193	5306
194	5516
195	5709
196	5827
197	5953
198	6019
199	6286
200	6545
201	6693
202	6911
203	7041
204	7216
205	7212
206	7608
207	7745
208	7888
209	7971
210	8195
211	8594
212	8738
213	8728
214	8911
215	9226
216	9451
217	9363
218	9586
219	10045
220	10021
221	10104
222	10400
223	10309
224	10625
225	10868
226	10993
227	11151
228	11561
229	11523
230	11672
231	11831
232	11708
233	12115
234	12196
235	12371
236	12335
237	12526
238	12733
239	12543
240	12958
241	13030
242	13027
243	13233
244	13229
245	13403
246	13402
247	13528
248	13855
249	14101
250	13574
251	13894
252	14078
253	13828
254	13914
255	13933
256	13846
257	14027
258	13800
259	13980
260	14148
261	14010
262	14064
263	14052
264	14167
265	14148
266	13973
267	13880
268	13860
269	13977
270	13896
271	13936
272	13925
273	13733
274	13628
275	13723
276	13610
277	13495
278	13272
279	13467
280	13402
281	13277
282	13230
283	13110
284	13155
285	13069
286	12787
287	12883
288	12677
289	12577
290	12449
291	12363
292	12395
293	12249
294	12350
295	12108
296	12082
297	11877
298	11671
299	11629
300	11653
301	11675
302	11487
303	11319
304	11392
305	11154
306	11305
307	10977
308	10948
309	10788
310	10644
311	10515
312	10454
313	10286
314	10119
315	10346
316	10140
317	10008
318	9786
319	9721
320	9616
321	9617
322	9551
323	9475
324	9320
325	9197
326	9294
327	9032
328	8969
329	8950
330	8852
331	8725
332	8536
333	8561
334	8395
335	8287
336	8140
337	8140
338	7910
339	7877
340	7805
341	7762
342	7715
343	7570
344	7684
345	7459
346	7378
347	7289
348	7178
349	7235
350	7175
351	6975
352	6863
353	6668
354	6831
355	6562
356	6473
357	6447
358	6405
359	6472
360	6341
361	6286
362	6089
363	6141
364	5937
365	5990
366	5889
367	5961
368	5666
369	5639
370	5471
371	5613
372	5497
373	5569
374	5405
375	5206
376	5291
377	5216
378	5053
379	4943
380	5039
381	4737
382	4806
383	4864
384	4729
385	4693
386	4728
387	4619
388	4392
389	4376
390	4401
391	4443
392	4314
393	4207
394	4172
395	4138
396	4144
397	4060
398	4029
399	3943
400	4059
401	3816
402	3823
403	3794
404	3579
405	3565
406	3713
407	3570
408	3553
409	3469
410	3406
411	3431
412	3309
413	3391
414	3246
415	3291
416	3202
417	3128
418	3040
419	3140
420	3038
421	3086
422	3022
423	2950
424	2925
425	2959
426	2870
427	2702
428	2869
429	2796
430	2658
431	2803
432	2678
433	2653
434	2611
435	2607
436	2730
437	2492
438	2546
439	2361
440	2479
441	2310
442	2387
443	2320
444	2351
445	2253
446	2233
447	2275
448	2217
449	2167
450	2131
451	2193
452	2144
453	2073
454	2007
455	2008
456	2024
457	1998
458	2022
459	1973
460	1946
461	1899
462	1832
463	1861
464	1799
465	1859
466	1715
467	1700
468	1706
469	1712
