#Mean	369.036
#Median	330
#Mode	258
#STDev	164.030
#PercentOfPairs	78.714
#InsertSize	Count
5	1
6	1
7	1
11	1
13	1
19	2
20	1
22	1
23	1
25	3
27	1
29	1
30	2
31	4
32	1
33	2
34	5
35	1
36	3
37	2
38	7
39	9
40	11
41	6
42	11
43	10
44	13
45	13
46	12
47	15
48	10
49	16
50	9
51	13
52	13
53	20
54	25
55	7
56	33
57	10
58	19
59	17
60	18
61	20
62	21
63	24
64	29
65	22
66	24
67	21
68	23
69	31
70	13
71	27
72	27
73	23
74	17
75	37
76	45
77	22
78	33
79	24
80	28
81	35
82	25
83	27
84	28
85	31
86	34
87	39
88	35
89	42
90	34
91	27
92	33
93	56
94	36
95	36
96	43
97	40
98	36
99	39
100	39
101	56
102	51
103	57
104	54
105	60
106	47
107	69
108	69
109	70
110	62
111	46
112	62
113	50
114	60
115	59
116	59
117	84
118	70
119	63
120	74
121	67
122	90
123	105
124	132
125	120
126	150
127	214
128	203
129	265
130	275
131	350
132	419
133	466
134	514
135	558
136	636
137	722
138	797
139	895
140	975
141	1076
142	1197
143	1450
144	1560
145	1813
146	1765
147	1898
148	2042
149	2314
150	2263
151	2455
152	2521
153	2679
154	2731
155	2822
156	2937
157	2965
158	2909
159	3086
160	3203
161	3251
162	3297
163	3573
164	3556
165	3584
166	3780
167	3853
168	3967
169	4014
170	4066
171	4251
172	4355
173	4422
174	4503
175	4580
176	4674
177	4797
178	5135
179	4958
180	5294
181	5308
182	5303
183	5297
184	5464
185	5679
186	5668
187	5910
188	5855
189	6076
190	6047
191	5992
192	6502
193	6385
194	6480
195	6760
196	6517
197	6813
198	6706
199	6780
200	6818
201	6953
202	7093
203	7192
204	7134
205	7380
206	7419
207	7607
208	7392
209	7586
210	7570
211	7810
212	7984
213	7741
214	7836
215	8193
216	8035
217	8089
218	8215
219	8220
220	8360
221	8312
222	8307
223	8515
224	8481
225	8492
226	8821
227	8715
228	8879
229	8905
230	8829
231	9133
232	9118
233	8856
234	8937
235	9015
236	9223
237	9024
238	9293
239	8886
240	9199
241	9302
242	9045
243	9443
244	9166
245	9251
246	9354
247	9353
248	9095
249	9342
250	9358
251	9297
252	9495
253	9262
254	9415
255	9337
256	9243
257	9216
258	9498
259	9373
260	9379
261	9393
262	9321
263	9385
264	9287
265	9189
266	9330
267	9410
268	9245
269	9180
270	9255
271	9109
272	9346
273	9154
274	9119
275	9228
276	9026
277	9009
278	9207
279	9156
280	9160
281	9124
282	8942
283	8978
284	8912
285	8910
286	8882
287	8995
288	8759
289	8997
290	8762
291	8866
292	8743
293	8462
294	8733
295	8608
296	8442
297	8398
298	8636
299	8267
300	8429
301	8464
302	8332
303	8360
304	8210
305	8125
306	8250
307	8090
308	8125
309	8142
310	7993
311	8003
312	8131
313	7973
314	7956
315	8061
316	7991
317	7785
318	7713
319	7774
320	7783
321	7703
322	7597
323	7506
324	7644
325	7613
326	7359
327	7611
328	7442
329	7425
330	7299
331	7180
332	7361
333	7328
334	7439
335	7194
336	7190
337	6962
338	7047
339	7061
340	7138
341	7032
342	6844
343	6797
344	6858
345	6822
346	6801
347	6698
348	6775
349	6635
350	6749
351	6675
352	6646
353	6602
354	6650
355	6382
356	6407
357	6566
358	6416
359	6470
360	6572
361	6289
362	6367
363	6332
364	6198
365	6256
366	6210
367	6227
368	6050
369	6005
370	5975
371	5914
372	6042
373	6148
374	6036
375	5939
376	6039
377	5942
378	5805
379	5754
380	5890
381	5781
382	5821
383	5754
384	5628
385	5844
386	5655
387	5619
388	5723
389	5341
390	5443
391	5460
392	5314
393	5450
394	5314
395	5374
396	5505
397	5308
398	5420
399	5161
400	5135
401	5328
402	5144
403	5259
404	5097
405	5013
406	5034
407	5216
408	4880
409	5140
410	4981
411	5006
412	4958
413	4979
414	4825
415	4756
416	4826
417	4839
418	4789
419	4750
420	4709
421	4765
422	4720
423	4662
424	4491
425	4554
426	4527
427	4666
428	4597
429	4422
430	4419
431	4354
432	4481
433	4379
434	4266
435	4391
436	4353
437	4262
438	4283
439	4235
440	4237
441	4229
442	4188
443	4212
444	4143
445	4255
446	4183
447	4264
448	4143
449	4128
450	4100
451	3920
452	4107
453	4074
454	3951
455	3899
456	3977
457	3787
458	4066
459	3970
460	3941
461	3850
462	3855
463	3877
464	3732
465	3681
466	3734
467	3714
468	3767
469	3746
470	3721
471	3755
472	3724
473	3602
474	3501
475	3492
476	3609
477	3607
478	3469
479	3485
480	3414
481	3412
482	3512
483	3517
484	3482
485	3436
486	3453
487	3393
488	3460
489	3326
490	3373
491	3293
492	3299
493	3330
494	3301
495	3451
496	3289
497	3136
498	3231
499	3032
500	3255
501	3119
502	3182
503	3130
504	3229
505	3115
506	3034
507	2977
508	3067
509	3067
510	3018
511	2921
512	3029
513	2931
514	2893
515	2838
516	2975
517	2846
518	2877
519	2796
520	2829
521	2791
522	2788
523	2829
524	2729
525	2741
526	2755
527	2623
528	2643
529	2808
530	2774
531	2649
532	2752
533	2678
534	2623
535	2517
536	2681
537	2623
538	2818
539	2606
540	2545
541	2548
542	2517
543	2604
544	2570
545	2439
546	2475
547	2543
548	2499
549	2503
550	2391
551	2368
552	2415
553	2516
554	2361
555	2434
556	2374
557	2436
558	2172
559	2212
560	2471
561	2335
562	2392
563	2355
564	2143
565	2294
566	2340
567	2382
568	2252
569	2195
570	2209
571	2113
572	2095
573	2166
574	2145
575	2038
576	2107
577	2104
578	2121
579	2088
580	2098
581	2047
582	2068
583	2003
584	2043
585	2053
586	2076
587	1973
588	2039
589	1945
590	2040
591	2013
592	2053
593	1986
594	1962
595	1855
596	1836
597	1908
598	1969
599	1881
600	1996
601	1906
602	1783
603	1825
604	1823
605	1824
606	1715
607	1716
608	1839
609	1819
610	1764
611	1758
612	1752
613	1722
614	1704
615	1734
616	1782
617	1789
618	1654
619	1777
620	1722
621	1652
622	1654
623	1640
624	1649
625	1627
626	1556
627	1568
628	1682
629	1545
630	1575
631	1551
632	1569
633	1578
634	1523
635	1530
636	1523
637	1544
638	1565
639	1525
640	1460
641	1465
642	1484
643	1473
644	1539
645	1414
646	1451
647	1433
648	1394
649	1492
650	1428
651	1418
652	1388
653	1400
654	1427
655	1406
656	1419
657	1398
658	1448
659	1335
660	1328
661	1281
662	1331
663	1287
664	1252
665	1303
666	1227
667	1271
668	1319
669	1289
670	1209
671	1274
672	1268
673	1257
674	1254
675	1251
676	1163
677	1205
678	1194
679	1205
680	1220
681	1194
682	1097
683	1126
684	1083
685	1054
686	1125
687	1192
688	1174
689	1142
690	1174
691	1116
692	1134
693	1084
694	1107
695	1129
696	1011
697	1078
698	1099
699	1056
700	1011
701	1023
702	1039
703	1027
704	1021
705	1018
706	977
707	903
708	1036
709	997
710	947
711	940
712	1025
713	923
714	977
715	936
716	953
717	967
718	954
719	889
720	918
721	894
722	900
723	922
724	898
725	858
726	842
727	868
728	874
729	848
730	800
731	874
732	826
733	804
734	813
735	848
736	828
737	831
738	810
739	816
740	784
741	806
742	766
743	773
744	764
745	854
746	746
747	773
748	773
749	733
750	730
751	757
752	773
753	724
754	699
755	729
756	689
757	679
758	682
759	700
760	718
761	675
762	654
763	635
764	661
765	658
766	643
767	678
768	657
769	626
770	671
771	678
772	644
773	602
774	600
775	650
776	598
777	637
778	566
779	609
780	595
781	534
782	586
783	542
784	586
785	539
786	575
787	601
788	523
789	539
790	568
791	570
792	516
793	533
794	531
795	495
796	503
797	497
798	510
799	506
800	535
801	507
802	444
803	497
804	501
805	484
806	497
807	487
808	487
809	461
810	450
811	476
812	454
813	487
814	471
815	454
816	435
817	429
818	420
819	427
820	419
821	420
822	386
823	473
824	452
825	391
826	443
827	393
828	417
829	388
830	372
831	396
832	375
833	389
834	362
835	375
836	401
837	410
838	375
839	391
840	334
841	352
842	346
843	347
844	356
845	308
846	355
847	368
848	351
849	305
850	305
851	310
852	296
853	332
854	308
855	293
856	316
857	304
858	290
859	300
860	307
861	287
862	267
863	308
864	306
865	293
866	270
867	287
868	301
869	260
870	259
871	267
872	305
873	256
874	282
875	243
876	252
877	258
878	254
879	232
880	267
881	249
882	239
883	262
884	266
885	252
886	208
887	213
888	220
889	215
890	210
891	241
892	211
893	184
894	225
895	183
896	206
897	215
898	217
899	194
900	193
901	206
902	182
903	183
904	209
905	205
906	232
907	191
908	188
909	159
910	183
911	150
912	188
913	175
914	168
915	157
916	153
917	151
918	168
919	145
920	138
921	172
922	148
923	148
924	159
925	124
926	148
927	131
928	133
929	138
930	167
931	128
932	164
933	137
934	152
935	153
936	153
937	117
938	134
939	125
940	122
941	121
942	119
943	115
944	122
945	134
946	133
947	105
948	134
949	103
950	115
951	126
952	110
953	94
954	119
955	88
956	98
957	98
958	115
959	105
960	110
961	103
962	82
963	114
964	103
965	90
966	96
967	81
968	80
969	76
970	90
971	104
972	94
973	89
974	79
975	81
976	94
977	86
978	94
979	91
980	71
981	93
982	82
983	82
984	82
985	70
986	83
987	94
988	69
989	78
990	68
991	70
992	61
993	86
994	55
995	70
996	78
997	49
998	80
999	68
1000	73
1001	47
1002	53
1003	52
1004	57
1005	65
1006	62
1007	67
1008	68
1009	56
1010	50
1011	65
1012	67
1013	37
1014	43
1015	47
1016	51
1017	50
1018	49
1019	50
1020	60
1021	58
1022	50
1023	45
1024	43
1025	50
1026	40
1027	40
1028	34
1029	41
1030	43
1031	48
1032	31
1033	45
1034	36
1035	43
1036	43
1037	39
1038	40
1039	45
1040	37
1041	34
1042	32
1043	39
1044	34
1045	44
1046	39
1047	21
1048	28
1049	36
1050	33
1051	32
1052	26
1053	30
1054	31
1055	32
1056	28
1057	34
1058	36
1059	15
1060	25
1061	30
1062	27
1063	33
1064	19
1065	21
1066	33
1067	23
1068	23
1069	29
1070	17
1071	19
1072	36
1073	16
1074	25
1075	19
1076	28
1077	24
1078	15
1079	31
1080	8
1081	16
1082	18
1083	19
1084	29
1085	20
1086	24
1087	15
1088	21
1089	20
1090	14
1091	17
1092	12
1093	20
1094	24
1095	21
1096	12
1097	23
1098	19
1099	23
1100	22
1101	11
1102	10
1103	25
1104	21
1105	15
1106	22
1107	18
1108	12
1109	12
1110	10
1111	8
1112	11
1113	7
1114	13
1115	12
1116	11
1117	11
1118	7
1119	10
1120	11
1121	10
1122	6
1123	12
1124	11
1125	5
1126	12
1127	9
1128	14
1129	11
1130	12
1131	9
1132	9
1133	7
1134	8
1135	10
1136	8
1137	7
1138	11
1139	6
1140	7
1141	8
1142	5
1143	1
1144	5
1145	8
1146	3
1147	3
1148	6
1149	8
1150	9
1151	5
1152	8
1153	11
1154	3
1155	7
1156	11
1157	3
1158	5
1159	6
1160	2
1161	10
1162	8
1163	3
1164	7
1165	2
1166	2
1167	3
1168	6
1169	3
1170	3
1171	7
1172	4
1173	8
1174	8
1175	4
1176	8
1177	4
1178	6
1179	4
1180	5
1181	2
1182	7
1183	5
1184	4
1185	4
1186	4
1187	4
1188	3
1189	2
1190	2
1191	5
1192	3
1193	2
1194	2
1195	1
1196	3
1197	4
1198	1
1199	2
1200	2
1201	3
1202	5
1203	1
1204	1
1205	3
1206	1
1207	2
1209	2
1210	2
1211	3
1212	2
1213	2
1214	1
1215	2
1216	2
1217	2
1218	2
1219	1
1220	1
1221	3
1222	4
1223	2
1224	1
1225	1
1226	2
1227	2
1228	3
1229	2
1230	1
1231	1
1233	3
1234	1
1235	3
1237	2
1238	2
1240	3
1241	1
1242	2
1243	4
1244	1
1245	1
1246	1
1247	1
1249	2
1251	1
1254	1
1255	3
1256	2
1257	1
1259	1
1263	1
1264	1
1265	1
1266	1
1267	1
1268	1
1269	1
1271	1
1273	3
1275	1
1277	1
1287	1
1294	1
1295	1
1304	1
1308	1
1309	1
1312	1
1316	2
1320	1
1346	1
1351	1
1372	1
1414	1
1436	1
2956	1
4678	1
4920	1
6080	1
7960	1
8569	1
9037	1
9100	1
10363	1
13242	1
14726	1
16798	1
17791	1
21689	1
24011	1
28432	1
29692	1
