#Mean	314.371
#Median	296
#Mode	271
#STDev	92.795
#PercentOfPairs	5.435
#InsertSize	Count
37	2
39	1
40	1
53	1
54	1
57	1
66	1
68	1
70	1
72	2
73	1
74	1
77	1
78	2
81	1
83	4
89	3
91	2
94	1
97	1
102	3
105	2
106	1
109	3
113	2
115	3
117	2
119	2
120	2
121	1
122	1
123	4
124	2
125	1
126	2
128	5
129	1
130	5
131	7
132	4
133	5
134	8
135	10
136	16
137	5
138	5
139	12
140	12
141	20
142	17
143	15
144	15
145	19
146	32
147	30
148	33
149	35
150	53
151	53
152	39
153	47
154	63
155	55
156	62
157	70
158	64
159	68
160	82
161	82
162	74
163	91
164	98
165	93
166	98
167	98
168	109
169	113
170	118
171	124
172	124
173	129
174	159
175	121
176	170
177	167
178	179
179	181
180	185
181	189
182	191
183	221
184	249
185	235
186	250
187	258
188	275
189	278
190	288
191	310
192	337
193	342
194	346
195	342
196	380
197	383
198	387
199	412
200	443
201	419
202	428
203	516
204	457
205	512
206	533
207	501
208	534
209	543
210	521
211	587
212	630
213	638
214	630
215	607
216	658
217	653
218	688
219	700
220	741
221	726
222	768
223	777
224	769
225	822
226	787
227	824
228	850
229	895
230	853
231	884
232	862
233	897
234	935
235	965
236	962
237	986
238	995
239	1035
240	988
241	1043
242	989
243	1043
244	988
245	1051
246	1030
247	1116
248	1083
249	1078
250	1120
251	1148
252	1085
253	1131
254	1111
255	1162
256	1136
257	1136
258	1140
259	1193
260	1160
261	1128
262	1168
263	1223
264	1136
265	1154
266	1145
267	1164
268	1213
269	1158
270	1117
271	1252
272	1196
273	1127
274	1188
275	1158
276	1111
277	1181
278	1181
279	1135
280	1132
281	1151
282	1097
283	1106
284	1147
285	1122
286	1131
287	1077
288	1110
289	1103
290	1084
291	1066
292	1094
293	1152
294	1172
295	1086
296	1121
297	1143
298	1043
299	1084
300	1007
301	1029
302	1036
303	994
304	1041
305	1017
306	1037
307	917
308	977
309	952
310	919
311	973
312	973
313	985
314	904
315	914
316	938
317	861
318	893
319	864
320	885
321	876
322	822
323	930
324	856
325	768
326	828
327	806
328	695
329	817
330	793
331	782
332	777
333	761
334	718
335	733
336	797
337	749
338	773
339	696
340	693
341	728
342	710
343	621
344	691
345	702
346	686
347	679
348	627
349	628
350	689
351	629
352	625
353	606
354	613
355	619
356	602
357	601
358	611
359	565
360	619
361	605
362	535
363	549
364	548
365	540
366	519
367	528
368	563
369	501
370	521
371	511
372	506
373	481
374	520
375	511
376	510
377	446
378	479
379	496
380	485
381	464
382	499
383	472
384	441
385	387
386	462
387	405
388	423
389	405
390	403
391	405
392	432
393	381
394	354
395	389
396	373
397	402
398	354
399	355
400	365
401	408
402	376
403	355
404	335
405	306
406	346
407	339
408	324
409	335
410	360
411	342
412	315
413	303
414	295
415	323
416	298
417	292
418	270
419	288
420	292
421	266
422	285
423	261
424	268
425	285
426	264
