#Mean	422.242
#Median	378
#Mode	252
#STDev	202.221
#PercentOfPairs	4.832
#InsertSize	Count
12	1
34	1
41	1
43	1
46	1
47	1
49	1
52	1
54	1
55	2
56	1
58	2
61	1
62	1
64	1
68	3
69	1
70	1
71	3
73	3
74	1
75	1
77	2
78	1
79	1
80	2
81	1
82	2
83	1
84	3
86	1
87	2
88	3
89	5
90	1
92	3
93	1
94	2
95	1
96	1
97	4
98	3
99	3
100	1
101	1
102	3
103	5
104	1
105	4
106	5
107	2
108	3
109	4
110	4
111	2
112	1
113	3
114	2
116	2
117	3
118	2
119	3
120	3
121	4
122	5
123	7
124	1
125	3
126	6
127	7
128	14
129	11
130	7
131	14
132	9
133	19
134	24
135	24
136	22
137	26
138	21
139	30
140	45
141	59
142	59
143	56
144	60
145	66
146	77
147	82
148	75
149	85
150	107
151	110
152	110
153	128
154	121
155	118
156	145
157	133
158	112
159	135
160	117
161	137
162	125
163	165
164	125
165	163
166	158
167	172
168	191
169	185
170	170
171	192
172	206
173	199
174	207
175	208
176	221
177	202
178	208
179	254
180	233
181	232
182	230
183	227
184	235
185	223
186	266
187	258
188	252
189	253
190	230
191	280
192	249
193	269
194	292
195	264
196	303
197	281
198	318
199	285
200	326
201	308
202	291
203	286
204	274
205	300
206	315
207	320
208	302
209	316
210	292
211	354
212	320
213	337
214	307
215	338
216	319
217	340
218	323
219	312
220	338
221	353
222	385
223	318
224	362
225	355
226	283
227	327
228	320
229	341
230	357
231	373
232	353
233	389
234	369
235	346
236	357
237	356
238	371
239	401
240	400
241	382
242	359
243	361
244	369
245	385
246	372
247	378
248	393
249	309
250	357
251	382
252	447
253	382
254	383
255	376
256	396
257	389
258	365
259	395
260	358
261	378
262	362
263	362
264	380
265	416
266	392
267	366
268	386
269	418
270	380
271	357
272	407
273	395
274	364
275	334
276	366
277	368
278	390
279	391
280	373
281	368
282	358
283	420
284	357
285	342
286	366
287	356
288	335
289	375
290	367
291	340
292	345
293	371
294	367
295	367
296	348
297	334
298	348
299	328
300	342
301	335
302	370
303	346
304	377
305	360
306	354
307	355
308	344
309	345
310	331
311	324
312	335
313	346
314	350
315	330
316	374
317	315
318	340
319	340
320	336
321	300
322	307
323	298
324	351
325	329
326	336
327	299
328	329
329	313
