#Mean	310.256
#Median	290
#Mode	268
#STDev	97.617
#PercentOfPairs	4.713
#InsertSize	Count
42	1
47	1
51	1
59	1
63	1
65	1
66	1
67	2
68	2
71	1
74	1
77	1
78	2
80	1
83	1
84	1
86	1
87	1
88	1
90	1
91	1
93	1
95	1
99	2
101	2
102	2
104	1
106	1
109	2
110	2
111	1
113	4
114	1
115	2
116	3
117	2
118	4
121	1
122	1
123	1
124	3
125	2
126	3
127	1
128	4
129	3
130	7
131	3
132	4
133	6
134	5
135	4
136	8
137	11
138	10
139	14
140	16
141	15
142	24
143	21
144	25
145	23
146	37
147	34
148	43
149	47
150	41
151	47
152	46
153	49
154	65
155	61
156	55
157	68
158	69
159	82
160	77
161	82
162	82
163	88
164	93
165	113
166	123
167	103
168	119
169	113
170	133
171	127
172	128
173	139
174	161
175	138
176	165
177	179
178	173
179	168
180	180
181	199
182	199
183	203
184	218
185	230
186	217
187	247
188	252
189	255
190	263
191	302
192	258
193	272
194	278
195	314
196	300
197	358
198	313
199	367
200	362
201	383
202	374
203	404
204	404
205	412
206	427
207	465
208	418
209	480
210	426
211	472
212	465
213	498
214	496
215	524
216	522
217	562
218	538
219	533
220	586
221	624
222	613
223	597
224	623
225	640
226	662
227	641
228	654
229	637
230	641
231	694
232	685
233	735
234	756
235	676
236	712
237	733
238	747
239	791
240	801
241	737
242	787
243	777
244	798
245	842
246	727
247	796
248	795
249	861
250	785
251	820
252	852
253	883
254	805
255	834
256	752
257	805
258	839
259	856
260	852
261	854
262	834
263	865
264	850
265	840
266	861
267	878
268	895
269	803
270	851
271	828
272	815
273	849
274	800
275	791
276	797
277	817
278	817
279	819
280	867
281	823
282	801
283	826
284	760
285	810
286	767
287	791
288	832
289	787
290	780
291	753
292	777
293	790
294	764
295	737
296	792
297	732
298	734
299	723
300	737
301	736
302	646
303	732
304	701
305	674
306	673
307	663
308	693
309	667
310	676
311	629
312	651
313	649
314	625
315	613
316	674
317	624
318	611
319	634
320	655
321	598
322	624
323	618
324	535
325	610
326	577
327	534
328	546
329	549
330	540
331	495
332	530
333	545
334	499
335	470
336	495
337	505
338	493
339	475
340	505
341	482
342	478
343	426
344	479
345	474
346	415
347	458
348	450
349	366
350	449
351	472
352	423
353	479
354	406
355	402
356	405
357	400
358	366
359	409
360	378
361	373
362	389
363	399
364	408
365	379
366	356
367	390
368	355
369	350
370	338
371	385
372	354
373	353
374	329
375	372
376	318
377	306
378	313
379	296
380	307
381	329
382	281
383	293
384	298
385	274
386	308
387	304
388	284
389	257
390	282
391	260
392	275
393	282
394	245
395	280
396	282
397	213
398	252
399	236
400	246
401	239
402	223
403	247
404	250
405	228
406	221
407	210
408	214
409	218
410	200
411	212
412	221
413	193
414	214
415	186
416	227
417	221
418	191
419	196
420	179
421	202
422	193
423	183
424	186
425	209
426	197
427	166
428	169
429	184
430	166
431	173
432	156
433	166
434	177
435	148
436	155
437	150
438	127
439	151
440	159
441	172
442	145
443	160
444	137
445	138
446	141
447	127
448	141
449	118
450	124
451	128
452	133
453	106
454	145
455	138
456	108
457	106
458	122
459	121
460	115
461	105
462	114
463	93
464	102
465	110
466	124
467	109
468	90
469	89
470	112
471	97
472	100
473	83
474	103
475	81
476	96
477	111
478	88
479	80
480	94
481	68
482	80
483	88
484	76
485	67
486	83
487	74
488	86
489	61
490	72
491	85
492	62
493	83
494	76
