#Mean	370.699
#Median	331
#Mode	270
#STDev	160.164
#PercentOfPairs	4.402
#InsertSize	Count
6	1
8	2
19	2
21	2
27	1
36	1
37	1
39	2
41	1
42	1
44	4
47	1
48	1
49	1
51	1
52	1
55	4
60	1
62	1
63	1
64	1
65	2
66	4
69	2
71	1
72	2
73	4
74	3
78	3
79	2
80	2
82	5
83	4
84	2
85	1
86	1
87	3
88	5
89	1
90	1
91	2
92	2
93	3
94	3
95	2
96	3
97	6
98	1
99	1
100	1
101	2
103	4
104	2
105	5
106	1
107	4
108	3
109	1
110	3
111	2
112	2
113	6
114	3
115	1
116	3
117	3
118	10
119	1
120	1
121	2
122	6
123	9
124	8
125	7
126	8
127	3
128	13
129	9
130	13
131	17
132	15
133	17
134	33
135	28
136	30
137	41
138	37
139	49
140	60
141	50
142	53
143	59
144	81
145	71
146	94
147	78
148	117
149	111
150	121
151	141
152	152
153	149
154	130
155	124
156	165
157	147
158	164
159	170
160	160
161	164
162	178
163	221
164	193
165	205
166	194
167	224
168	192
169	227
170	217
171	228
172	220
173	244
174	239
175	242
176	247
177	259
178	271
179	240
180	304
181	307
182	342
183	319
184	312
185	267
186	306
187	296
188	328
189	293
190	335
191	332
192	341
193	367
194	382
195	356
196	331
197	332
198	375
199	363
200	384
201	375
202	334
203	404
204	393
205	406
206	437
207	412
208	432
209	401
210	415
211	430
212	426
213	427
214	443
215	393
216	461
217	434
218	467
219	459
220	446
221	424
222	490
223	402
224	460
225	449
226	442
227	500
228	442
229	460
230	505
231	468
232	475
233	529
234	538
235	502
236	480
237	496
238	549
239	547
240	517
241	560
242	487
243	482
244	506
245	527
246	526
247	601
248	543
249	556
250	468
251	473
252	549
253	567
254	460
255	540
256	506
257	505
258	505
259	535
260	519
261	523
262	523
263	537
264	566
265	499
266	517
267	481
268	562
269	543
270	607
271	529
272	546
273	512
274	500
275	531
276	511
277	501
278	561
279	471
280	482
281	512
282	543
283	476
284	501
285	516
286	470
287	447
288	489
289	494
290	477
291	474
292	525
293	529
294	489
295	476
296	496
297	505
298	442
299	464
300	477
301	463
302	475
303	501
304	498
305	493
306	483
307	488
308	386
309	459
310	505
311	473
312	476
313	439
314	439
315	471
316	448
317	431
318	425
319	415
320	449
321	477
322	394
323	439
324	399
325	409
326	417
327	452
328	447
329	422
330	426
331	441
332	387
333	397
334	402
335	372
336	364
337	455
338	402
339	348
340	430
341	415
342	401
343	416
344	373
345	369
346	356
347	386
348	400
349	344
350	372
351	384
352	407
353	373
354	397
355	361
356	358
357	389
358	345
359	361
360	361
361	335
362	332
363	351
364	358
365	333
366	377
367	320
368	331
369	311
370	331
371	310
372	344
373	355
374	346
375	360
376	339
377	358
378	371
379	315
380	325
381	322
382	292
383	315
384	332
385	323
386	323
387	324
388	279
389	336
390	312
391	347
392	332
393	322
394	300
395	292
396	292
397	297
398	267
399	266
400	314
401	314
402	311
403	301
404	314
405	318
406	259
407	293
408	308
409	285
410	283
411	302
412	272
413	267
414	295
415	263
416	304
417	254
418	282
419	275
420	266
421	269
422	284
423	276
424	261
425	252
426	245
427	272
428	248
429	280
430	264
431	275
432	287
433	249
434	231
435	248
436	252
437	236
438	229
439	239
440	246
441	211
442	216
443	235
444	252
445	237
446	235
447	231
448	220
449	247
450	234
451	221
452	213
453	240
454	223
455	252
456	200
457	196
458	200
459	202
460	250
461	213
462	211
463	203
464	168
465	226
466	210
467	218
468	238
469	207
470	223
471	217
472	172
473	211
474	196
475	224
476	197
477	216
478	226
479	208
480	183
481	194
482	186
483	222
484	164
485	213
486	182
487	196
488	182
489	201
490	194
491	188
492	197
493	159
494	177
495	179
496	205
497	195
498	185
499	164
500	183
501	154
502	180
503	187
504	181
505	186
506	180
507	165
508	169
509	166
510	152
511	150
512	147
513	158
514	142
515	166
516	179
517	151
518	170
519	156
520	152
521	149
522	134
523	168
524	150
525	171
526	171
527	144
528	146
529	153
530	152
531	165
532	137
533	154
534	154
535	158
536	152
537	154
538	173
539	133
540	114
541	145
542	149
543	134
544	121
545	155
546	136
547	138
548	142
549	156
550	152
551	149
552	150
553	127
554	125
555	126
556	130
557	122
558	116
559	135
560	127
561	134
562	125
563	104
564	108
565	139
566	129
567	109
568	120
569	130
570	120
571	129
572	107
573	113
574	127
575	129
576	108
577	116
578	127
579	115
580	108
581	121
582	116
583	120
584	120
585	101
586	129
587	93
588	122
589	97
590	107
591	105
592	102
593	98
594	84
595	132
596	112
597	101
598	129
599	98
600	113
601	98
602	121
603	89
604	109
605	116
606	100
607	90
608	93
609	80
610	92
611	82
612	122
613	91
614	96
615	85
616	87
617	90
618	77
619	90
620	77
621	102
622	76
623	103
624	102
625	81
626	98
627	88
628	84
629	88
630	89
631	90
632	82
633	73
634	86
635	93
636	87
637	84
638	78
639	66
640	94
641	91
642	89
643	96
644	63
645	76
646	74
647	74
648	91
649	84
650	80
651	69
652	88
653	66
654	71
655	85
656	72
657	70
658	82
659	64
660	57
661	67
662	83
663	56
664	77
665	53
666	82
667	80
668	64
669	79
670	71
671	56
672	57
673	64
674	56
675	60
676	65
677	66
678	84
679	72
680	71
681	61
682	65
683	51
684	45
685	63
686	51
687	83
688	75
689	52
690	66
691	69
692	49
693	66
694	59
695	52
696	61
697	59
698	60
699	61
700	42
701	50
702	53
703	55
704	42
705	69
706	54
707	54
708	46
709	58
710	50
711	48
712	53
713	48
714	57
715	53
716	59
717	73
718	47
719	37
720	39
721	55
722	55
723	49
724	54
725	56
726	47
727	58
728	55
729	53
730	49
731	40
732	53
733	63
734	40
735	56
736	50
737	64
738	44
739	58
740	53
741	47
742	55
743	43
744	33
745	50
746	36
747	51
748	48
749	42
750	43
751	45
752	37
753	38
754	33
755	35
756	32
757	32
758	46
759	46
760	48
761	46
762	42
763	41
764	52
765	32
766	42
767	39
768	46
769	45
770	37
771	46
772	34
773	50
774	28
775	40
776	35
777	19
778	37
779	39
780	39
781	37
782	33
783	29
784	35
785	47
786	27
787	35
788	29
789	38
790	33
791	32
792	41
793	35
794	29
795	31
796	36
797	27
798	26
799	20
800	26
801	41
802	24
803	29
804	30
805	34
806	24
807	26
808	30
809	18
810	30
811	25
812	20
813	27
814	27
815	28
816	19
817	21
818	26
819	25
820	25
821	24
822	22
823	28
824	20
825	21
826	19
827	23
828	23
829	25
830	24
831	24
832	22
833	30
834	21
835	27
836	20
837	23
838	32
839	27
840	21
841	18
842	23
843	27
844	16
845	15
846	23
847	26
848	22
849	20
850	14
851	25
852	21
853	14
854	12
855	14
856	21
857	21
858	20
859	17
860	10
861	24
862	24
863	19
864	18
865	19
866	15
867	24
868	18
869	9
870	21
871	11
872	19
873	15
874	12
875	18
876	19
877	20
878	20
879	15
880	6
881	15
882	12
883	17
884	18
885	17
886	10
887	16
888	12
889	13
890	17
891	14
892	12
893	11
894	14
895	11
896	18
897	13
898	12
899	13
900	9
901	15
902	22
903	13
904	13
905	8
906	12
907	6
908	8
909	8
910	16
911	12
912	10
913	9
914	12
915	18
916	6
917	11
918	11
919	13
920	13
921	12
922	7
923	10
924	9
925	9
926	8
927	13
928	12
929	3
930	6
931	11
932	8
933	7
934	6
935	4
936	4
937	11
938	8
939	14
940	8
941	7
942	10
943	8
944	8
945	2
946	7
947	8
948	8
949	8
950	4
951	9
952	5
953	5
954	7
955	5
956	6
957	9
958	4
959	9
960	6
961	5
962	6
963	7
964	3
965	6
966	8
967	5
968	9
969	6
970	3
971	4
972	7
973	3
974	3
975	5
976	9
977	5
978	4
979	5
980	6
981	7
982	7
983	1
984	5
985	6
986	2
987	2
988	4
989	6
990	6
991	4
992	6
993	3
994	3
995	4
996	2
997	5
998	1
999	11
1000	8
1001	1
1002	1
1003	3
1004	2
1005	3
1006	1
1007	2
1008	4
1009	6
1010	1
1011	4
1012	1
1013	4
1014	2
1015	2
1016	4
1017	5
1018	5
1019	3
1020	4
1021	3
1022	3
1023	2
1024	1
1025	2
1026	4
1027	2
1028	2
1029	3
1030	4
1031	1
1032	1
1033	2
1034	1
1035	2
1036	2
1037	2
1038	4
1039	2
1040	1
1041	3
1043	1
1044	6
1048	3
1049	3
1050	2
1051	1
1052	4
1053	1
