#Mean	313.222
#Median	295
#Mode	268
#STDev	92.852
#PercentOfPairs	17.659
#InsertSize	Count
32	1
33	1
36	1
43	1
44	2
46	1
47	1
53	1
54	1
56	1
58	1
62	1
63	1
64	1
65	1
66	1
67	1
69	2
70	2
71	3
72	2
73	2
74	2
75	1
78	2
79	3
84	1
85	2
86	4
87	2
88	1
89	2
90	3
91	4
92	1
93	3
95	1
98	2
99	4
100	1
101	2
102	1
103	3
104	2
105	1
106	2
107	2
108	2
109	1
110	6
111	2
112	4
113	2
114	2
115	3
116	2
118	7
119	1
120	1
121	9
122	7
123	4
124	3
125	6
126	9
127	10
128	9
129	8
130	16
131	14
132	14
133	29
134	17
135	22
136	36
137	30
138	35
139	46
140	46
141	55
142	55
143	86
144	82
145	94
146	103
147	107
148	121
149	143
150	144
151	161
152	179
153	176
154	178
155	171
156	196
157	227
158	234
159	230
160	270
161	263
162	307
163	301
164	318
165	291
166	365
167	332
168	387
169	387
170	405
171	447
172	469
173	521
174	505
175	582
176	526
177	572
178	658
179	635
180	697
181	710
182	725
183	839
184	746
185	893
186	867
187	940
188	959
189	926
190	977
191	1078
192	1079
193	1152
194	1127
195	1192
196	1254
197	1291
198	1298
199	1403
200	1415
201	1475
202	1554
203	1574
204	1580
205	1611
206	1764
207	1774
208	1825
209	1917
210	1850
211	1974
212	1991
213	2078
214	2128
215	2077
216	2314
217	2192
218	2357
219	2388
220	2287
221	2437
222	2519
223	2488
224	2649
225	2702
226	2749
227	2679
228	2884
229	2975
230	2842
231	2872
232	2973
233	3034
234	3030
235	3162
236	3066
237	3125
238	3226
239	3344
240	3412
241	3360
242	3409
243	3383
244	3418
245	3412
246	3603
247	3497
248	3504
249	3591
250	3574
251	3696
252	3597
253	3661
254	3702
255	3826
256	3873
257	3653
258	3725
259	3803
260	3703
261	3723
262	3789
263	3826
264	3775
265	3824
266	3706
267	3734
268	3889
269	3814
270	3801
271	3854
272	3791
273	3695
274	3803
275	3741
276	3775
277	3652
278	3694
279	3688
280	3647
281	3690
282	3627
283	3621
284	3671
285	3553
286	3619
287	3568
288	3630
289	3564
290	3476
291	3458
292	3609
293	3551
294	3541
295	3424
296	3445
297	3400
298	3315
299	3345
300	3271
301	3243
302	3134
303	3195
304	3263
305	3103
306	3200
307	3177
308	3111
309	3002
310	3154
311	3070
312	3037
313	3065
314	3004
315	2941
316	2864
317	2939
318	2890
319	2811
320	2853
321	2742
322	2800
323	2653
324	2623
325	2746
326	2645
327	2670
328	2514
329	2607
330	2619
331	2571
332	2412
333	2491
334	2495
335	2436
336	2387
337	2378
338	2359
339	2300
340	2244
341	2400
342	2264
343	2337
344	2180
345	2269
346	2194
347	2200
348	2128
349	2151
350	2043
351	1986
352	2087
353	2004
354	1964
355	1996
356	1863
357	1816
358	1891
359	1933
360	1824
361	1879
362	1846
363	1839
364	1779
365	1749
366	1767
367	1738
368	1698
369	1650
370	1701
371	1542
372	1686
373	1590
374	1572
375	1564
376	1544
377	1495
378	1473
379	1495
380	1548
381	1417
382	1415
383	1432
384	1458
385	1392
386	1446
387	1333
388	1335
389	1316
390	1259
391	1344
392	1211
393	1298
394	1273
395	1268
396	1228
397	1210
398	1202
399	1175
400	1204
401	1198
402	1184
403	1097
404	1092
405	1095
406	1043
407	1093
408	1082
409	1049
410	1060
411	1023
412	1068
413	1040
414	1025
415	1001
416	1030
417	958
418	971
419	982
420	991
421	968
422	957
423	950
424	895
425	872
426	875
427	878
428	844
429	870
430	883
431	859
432	850
433	784
434	833
435	810
436	818
437	789
438	757
439	795
440	707
441	721
442	720
443	763
444	684
445	683
446	648
447	647
448	704
449	665
450	644
451	648
452	628
453	640
454	593
455	566
456	578
457	569
458	606
459	598
460	565
461	557
462	602
463	546
464	561
465	539
466	530
467	517
468	516
469	487
470	473
471	485
472	449
473	472
474	465
475	440
476	471
477	496
478	464
479	466
480	446
481	445
482	415
483	391
484	434
485	427
486	427
487	438
488	377
489	394
490	389
491	378
492	377
493	398
494	355
495	359
496	379
497	357
498	341
499	335
500	333
501	377
502	335
503	343
504	323
505	338
506	315
507	295
508	300
509	272
510	325
511	297
512	301
513	285
514	281
515	302
516	312
517	291
518	285
519	240
520	258
521	241
522	262
523	282
524	246
525	235
526	222
527	222
528	251
529	233
530	237
531	229
532	243
533	233
534	202
535	208
536	229
537	226
538	201
539	206
540	221
541	194
542	188
543	178
544	215
545	192
546	200
547	192
548	162
549	210
550	182
551	175
552	179
553	206
554	194
555	169
556	142
557	188
558	166
559	179
560	165
561	169
562	177
563	146
564	129
565	163
566	167
567	126
568	152
569	137
570	135
571	161
572	158
573	136
574	141
575	124
576	126
577	123
578	114
579	139
580	127
581	124
582	125
583	121
584	130
585	120
586	116
587	113
588	104
589	125
590	98
591	100
592	96
593	108
594	101
595	98
596	97
597	95
598	112
599	100
600	101
601	93
602	103
603	95
604	95
605	108
606	86
607	81
608	89
609	83
610	83
611	73
612	87
613	81
614	67
615	68
616	86
617	82
618	80
619	67
620	68
621	70
622	71
623	64
624	58
625	77
626	72
627	50
628	58
629	78
630	79
631	89
632	64
633	54
634	67
635	64
636	43
637	53
638	61
639	61
640	37
641	50
642	51
643	49
644	56
645	44
646	62
647	43
648	60
649	54
650	56
651	39
652	53
653	62
654	32
655	42
656	57
657	47
658	38
659	59
660	50
661	49
662	48
663	45
664	43
665	53
666	49
667	32
668	46
669	38
670	36
671	31
672	38
673	33
674	38
675	40
676	53
677	44
678	42
679	30
680	49
681	37
682	34
683	30
684	38
685	36
686	39
687	42
688	40
689	36
690	29
691	31
692	31
693	32
694	40
695	29
696	36
697	28
698	34
699	26
700	41
701	28
702	34
703	25
704	25
705	28
706	21
707	31
708	22
709	28
710	24
711	29
712	28
713	27
714	19
715	24
716	24
717	24
718	17
719	24
720	26
721	21
722	22
723	26
724	27
725	31
726	15
727	14
728	22
729	20
730	18
731	23
732	19
733	22
734	25
735	20
736	16
737	23
738	16
739	15
740	17
741	17
742	15
743	12
744	15
745	15
746	19
747	12
748	22
749	10
750	17
751	25
752	23
753	16
754	9
755	14
756	12
757	21
758	24
759	16
760	11
761	14
762	16
763	8
764	16
765	18
766	9
767	11
768	8
769	18
770	14
771	10
772	15
773	9
774	15
775	12
776	10
777	11
778	12
779	12
780	12
781	9
782	11
783	14
784	14
785	19
786	6
787	17
788	13
789	8
790	13
791	10
792	8
793	13
794	13
795	7
796	9
797	9
798	14
799	9
800	15
801	14
802	13
803	3
804	11
805	14
806	9
807	5
808	12
809	7
810	5
811	11
812	13
813	12
814	9
815	12
816	9
817	12
818	9
819	9
820	4
821	7
822	13
823	11
824	16
825	11
826	10
827	7
828	6
829	10
830	10
831	6
832	6
833	6
834	6
835	8
836	8
837	6
838	5
839	6
840	6
841	4
842	8
843	6
844	7
845	7
846	8
847	2
848	6
849	5
850	4
851	10
852	15
853	10
854	9
855	2
856	5
857	5
858	8
859	4
860	5
861	7
862	7
863	6
864	3
865	4
866	3
867	5
868	3
869	4
870	6
871	2
872	4
873	4
874	7
875	6
876	2
877	1
878	4
879	4
880	3
881	6
882	6
883	5
884	3
885	2
886	6
887	3
888	4
889	4
890	13
891	7
892	3
893	7
894	4
895	10
896	6
897	9
898	8
899	6
900	4
901	6
902	4
903	4
904	1
905	4
906	4
907	7
908	3
909	3
910	4
911	1
912	7
913	3
914	6
915	4
916	4
917	4
918	4
919	5
920	3
921	7
922	4
923	1
924	2
925	4
926	3
927	6
928	2
929	1
930	4
931	4
932	5
933	4
934	4
936	5
937	2
938	3
939	2
940	4
941	4
942	5
943	2
944	4
945	1
946	2
947	3
948	6
949	1
950	4
952	4
953	4
954	4
955	5
956	1
957	2
958	3
959	1
960	3
961	2
962	1
963	1
964	4
965	1
966	7
968	5
969	1
970	3
971	2
972	1
973	2
974	5
975	2
977	2
978	3
979	2
981	1
982	1
983	3
984	1
985	3
986	1
987	2
988	1
991	1
992	2
993	1
994	2
995	3
996	2
997	5
998	4
999	1
1000	3
1001	2
1002	2
1003	1
1005	1
1007	1
1010	1
1012	1
1013	1
1014	1
1015	4
1016	2
1017	1
1018	2
1020	2
1021	1
1022	4
1024	3
1027	3
1029	5
1031	1
1032	1
1034	1
1035	1
1036	3
1037	2
1040	1
1041	1
1042	1
1044	3
1045	1
1046	2
1048	2
1050	1
1051	2
1052	1
1056	1
1059	1
1060	1
1061	3
1063	2
1064	2
1067	1
1069	1
1071	3
1074	1
1077	2
1078	1
1081	1
1082	2
1083	1
1084	1
1089	2
1090	2
1091	2
1094	2
1097	1
1098	1
1101	1
1104	1
1106	1
1109	1
1113	3
1114	1
1119	1
1123	1
1126	1
1139	2
1140	1
1142	1
1143	1
1146	1
1148	1
1152	1
1153	1
1164	2
1168	1
1173	2
1174	1
1180	1
1182	1
1183	1
1187	1
1188	1
1194	1
1197	1
1206	1
1222	1
1228	1
1244	1
1245	1
1262	1
1278	1
