#Mean	416.324
#Median	372
#Mode	263
#STDev	191.633
#PercentOfPairs	15.769
#InsertSize	Count
24	1
27	2
31	1
32	1
33	1
39	2
40	1
41	1
42	1
43	1
44	1
45	2
46	1
48	2
49	1
50	1
51	1
52	2
54	2
55	3
56	2
57	3
58	5
59	4
60	3
61	6
62	3
63	1
64	1
65	2
66	2
67	5
68	5
69	4
70	2
71	3
72	4
73	5
74	4
75	2
76	1
77	5
78	5
79	3
80	5
82	2
83	3
84	3
85	3
86	6
87	2
88	5
89	2
90	3
91	10
92	1
93	6
94	5
95	8
96	4
97	3
98	8
99	4
100	5
101	4
102	5
103	6
104	6
105	4
106	3
107	9
108	3
109	11
110	4
111	6
112	5
113	10
114	12
115	5
116	8
117	9
118	11
119	5
120	8
121	4
122	11
123	6
124	10
125	14
126	26
127	17
128	27
129	39
130	34
131	54
132	59
133	73
134	69
135	79
136	82
137	108
138	97
139	141
140	174
141	141
142	199
143	224
144	212
145	241
146	295
147	296
148	338
149	369
150	348
151	359
152	404
153	415
154	368
155	411
156	440
157	386
158	437
159	472
160	474
161	535
162	516
163	482
164	544
165	567
166	564
167	603
168	644
169	601
170	589
171	656
172	700
173	624
174	687
175	744
176	754
177	706
178	812
179	773
180	781
181	800
182	779
183	813
184	821
185	833
186	830
187	859
188	881
189	922
190	918
191	953
192	890
193	883
194	918
195	986
196	988
197	957
198	1018
199	997
200	1039
201	1061
202	1101
203	1060
204	1134
205	1010
206	998
207	1054
208	1107
209	1057
210	1110
211	1076
212	1130
213	1105
214	1099
215	1126
216	1078
217	1153
218	1168
219	1120
220	1267
221	1160
222	1124
223	1219
224	1120
225	1178
226	1142
227	1218
228	1166
229	1226
230	1203
231	1124
232	1207
233	1230
234	1213
235	1239
236	1252
237	1256
238	1256
239	1201
240	1181
241	1229
242	1286
243	1234
244	1172
245	1172
246	1259
247	1238
248	1280
249	1229
250	1304
251	1231
252	1273
253	1236
254	1321
255	1293
256	1237
257	1233
258	1300
259	1214
