#Mean	309.206
#Median	289
#Mode	262
#STDev	98.817
#PercentOfPairs	14.949
#InsertSize	Count
13	1
43	1
47	2
49	2
50	2
52	1
54	1
55	1
58	1
59	1
62	2
65	2
66	2
72	1
73	1
74	1
75	1
77	2
78	5
79	2
80	1
81	1
82	1
83	3
84	4
85	2
86	3
87	1
89	2
92	1
93	1
94	4
95	5
98	2
99	3
100	1
101	1
102	1
103	4
104	4
105	3
107	4
108	2
109	3
112	1
113	2
114	5
115	3
116	3
117	2
118	2
119	5
120	2
122	1
123	3
125	7
126	10
127	9
128	7
129	16
130	14
131	19
132	16
133	21
134	36
135	27
136	39
137	31
138	35
139	60
140	65
141	61
142	71
143	91
144	106
145	107
146	125
147	113
148	121
149	160
150	164
151	206
152	208
153	210
154	201
155	223
156	205
157	223
158	238
159	237
160	283
161	280
162	289
163	285
164	364
165	348
166	360
167	381
168	373
169	375
170	423
171	474
172	483
173	526
174	486
175	514
176	545
177	566
178	611
179	591
180	663
181	668
182	670
183	695
184	743
185	759
186	822
187	794
188	860
189	875
190	915
191	935
192	951
193	1008
194	1045
195	1010
196	1040
197	1162
198	1138
199	1198
200	1198
201	1287
202	1234
203	1302
204	1295
205	1429
206	1379
207	1468
208	1455
209	1522
210	1585
211	1553
212	1644
213	1682
214	1668
215	1718
216	1749
217	1713
218	1781
219	1884
220	1856
221	1861
222	1993
223	1984
224	1942
225	2092
226	2052
227	2040
228	2137
229	2109
230	2191
231	2167
232	2297
233	2271
234	2256
235	2311
236	2369
237	2343
238	2433
239	2537
240	2438
241	2503
242	2555
243	2476
244	2480
245	2599
246	2521
247	2492
248	2542
249	2580
250	2524
251	2576
252	2556
253	2576
254	2677
255	2629
256	2580
257	2689
258	2660
259	2630
260	2704
261	2659
262	2784
263	2652
264	2614
265	2616
266	2560
267	2576
268	2600
269	2633
270	2688
271	2753
272	2625
273	2559
274	2654
275	2640
276	2570
277	2603
278	2590
279	2472
280	2497
281	2576
282	2429
283	2548
284	2604
285	2518
286	2508
287	2479
288	2515
289	2461
290	2386
291	2517
292	2380
293	2452
294	2345
295	2261
296	2276
297	2356
298	2379
299	2203
300	2220
301	2259
302	2193
303	2312
304	2097
305	2075
306	2165
307	2161
308	2072
309	2074
310	2079
311	2061
312	1968
313	1966
314	1987
315	1999
316	1946
317	1943
318	1889
319	1793
320	1754
321	1822
322	1827
323	1830
324	1861
325	1792
326	1771
327	1758
328	1780
329	1727
330	1623
331	1696
332	1658
333	1638
334	1662
335	1615
336	1536
337	1587
338	1549
339	1548
340	1498
341	1559
342	1450
343	1463
344	1408
345	1447
346	1408
347	1415
348	1414
349	1371
350	1352
351	1407
352	1348
353	1306
354	1285
355	1309
356	1206
357	1196
358	1241
359	1231
360	1200
361	1219
362	1158
363	1197
364	1196
365	1135
366	1117
367	1117
368	1108
369	1159
370	1050
371	1060
372	1018
373	1071
374	1069
375	1032
376	970
377	1035
378	965
379	998
380	959
381	955
382	896
383	979
384	892
385	917
386	905
387	828
388	847
389	842
390	867
391	825
