#Mean	283.310
#Median	296
#Mode	327
#STDev	99.769
#PercentOfPairs	0.003
#InsertSize	Count
109	1
113	1
127	1
139	2
140	1
146	1
147	1
150	1
154	1
156	2
157	1
162	1
167	2
169	1
172	2
175	1
177	2
179	1
180	1
197	1
198	1
199	1
203	1
205	1
211	1
213	1
214	1
219	1
220	1
222	1
223	2
225	1
226	1
227	1
229	1
230	1
232	2
235	1
238	1
246	1
247	1
253	1
259	1
260	1
261	1
266	1
270	1
273	1
275	1
280	2
283	1
284	1
287	2
289	1
296	1
298	1
300	1
301	1
303	1
304	1
306	1
310	1
311	1
312	1
317	2
318	1
319	2
320	1
321	2
322	1
323	1
325	1
327	4
328	2
329	3
330	2
331	4
332	1
333	1
334	1
335	4
336	2
337	3
341	2
343	2
348	1
350	1
361	1
367	1
368	1
390	1
397	1
401	1
484	1
531	1
548	1
574	1
585	1
804	1
