#Mean	406.714
#Median	346
#Mode	333
#STDev	202.509
#PercentOfPairs	0.031
#InsertSize	Count
44	2
45	1
48	1
50	1
112	1
125	1
137	1
139	1
141	2
142	2
145	1
148	2
149	2
151	1
152	1
153	1
155	1
158	4
160	5
161	5
165	2
167	1
168	1
169	1
170	3
171	3
173	1
175	1
176	4
177	3
178	3
179	2
180	2
181	2
182	3
183	2
184	4
185	4
186	4
187	5
188	1
189	2
190	6
191	1
192	1
194	4
196	3
198	2
199	4
200	4
201	4
202	5
203	2
204	1
205	3
206	2
207	1
208	3
210	2
211	4
212	3
213	1
214	1
215	3
216	1
217	3
218	3
219	3
220	2
221	5
222	3
223	8
225	2
226	3
229	2
230	3
231	2
232	5
233	1
234	3
235	1
236	3
237	2
238	4
239	1
240	3
241	2
242	1
243	1
245	2
247	4
248	2
249	4
250	3
252	1
253	4
254	5
256	2
257	1
258	1
259	1
260	1
261	2
262	1
263	4
264	4
266	2
267	5
269	1
270	1
271	1
272	3
274	5
275	3
276	1
278	2
279	1
280	1
281	2
283	2
284	1
285	2
287	1
288	2
289	1
290	2
292	4
293	3
295	6
296	2
299	1
300	1
302	5
303	3
304	5
306	4
307	1
308	1
309	2
310	2
311	1
312	1
313	1
314	2
315	3
316	6
317	3
318	1
319	3
320	5
321	3
323	6
324	4
325	3
326	4
327	2
328	3
329	2
330	2
331	7
332	3
333	13
334	3
335	2
336	5
337	2
338	5
339	7
340	3
341	4
343	3
344	2
345	1
346	1
347	3
348	2
349	5
352	5
353	1
354	1
355	1
356	1
357	1
359	2
360	2
362	1
363	2
364	3
365	4
366	1
367	1
368	1
369	4
370	1
373	1
374	1
375	2
378	3
379	3
380	1
381	1
382	4
383	2
384	3
386	3
388	1
390	3
391	1
392	2
393	1
395	1
396	1
397	1
398	2
399	2
400	1
401	1
403	4
405	3
407	1
409	2
410	2
411	7
413	3
414	2
415	1
417	1
418	2
419	6
420	4
421	2
422	3
424	1
425	3
428	4
429	2
430	1
431	4
433	1
434	2
435	2
437	1
438	1
440	3
442	2
443	1
444	1
445	1
447	2
448	3
452	1
456	2
457	1
458	1
459	2
460	1
462	1
463	3
464	1
465	2
468	1
469	1
471	1
476	2
477	2
479	1
481	3
486	1
487	3
490	1
493	4
499	1
500	3
501	1
502	1
504	2
505	1
509	1
512	2
513	1
514	2
515	1
516	2
517	1
518	1
521	1
522	1
524	1
525	3
527	3
529	2
530	2
531	1
532	1
533	4
534	1
535	1
536	1
538	2
539	4
540	2
541	1
547	3
549	2
551	1
552	3
554	1
555	1
558	2
559	1
562	1
565	2
570	2
572	2
573	1
575	2
577	2
578	2
580	1
581	1
582	2
584	1
586	4
590	1
592	1
594	1
597	2
598	1
599	3
600	2
601	1
602	1
603	2
605	1
607	1
608	2
611	1
612	1
617	2
621	2
624	1
626	1
628	1
632	1
636	3
638	1
642	1
644	1
648	1
649	2
650	3
651	1
653	1
655	3
656	1
657	2
659	1
662	1
663	2
666	1
671	1
672	2
673	2
674	1
676	2
677	1
679	1
682	2
684	1
685	1
686	1
688	1
689	2
691	1
694	1
698	2
699	1
706	1
707	1
711	1
713	1
714	1
716	1
717	1
719	2
728	2
729	1
730	1
734	1
735	2
736	1
738	2
739	1
741	1
742	1
747	1
748	1
749	1
750	2
755	2
763	1
772	1
775	1
781	1
783	1
785	1
786	1
788	1
789	1
790	1
791	1
792	2
793	1
801	1
802	2
803	1
806	2
807	1
810	1
811	1
816	1
831	1
833	1
842	1
844	1
845	1
847	1
858	1
861	1
865	1
868	1
869	3
874	1
882	1
885	1
892	2
901	1
902	1
904	1
924	1
930	1
940	1
947	1
951	1
953	1
957	1
961	1
969	1
977	1
988	1
994	2
1002	1
1010	1
1025	1
1048	1
1054	1
1059	1
1085	1
