#Mean	294.106
#Median	303
#Mode	331
#STDev	114.989
#PercentOfPairs	0.005
#InsertSize	Count
65	1
141	1
143	1
145	1
146	1
147	1
149	2
155	3
157	1
158	2
159	1
161	1
162	1
164	1
165	1
167	1
168	1
177	2
179	1
180	1
181	1
184	1
185	1
186	2
187	1
192	1
194	1
196	1
197	1
207	1
211	1
216	1
217	1
218	1
220	1
224	1
226	1
229	1
231	1
233	1
234	2
237	1
238	1
239	1
241	1
243	1
245	1
252	1
258	1
259	1
263	1
264	1
265	1
266	2
267	1
270	1
272	1
280	1
282	2
283	1
289	1
293	1
294	1
298	1
301	1
303	1
305	1
307	1
313	3
314	1
316	1
318	1
319	2
320	1
322	2
323	2
324	1
325	2
326	2
327	2
328	1
329	1
331	4
332	4
333	1
335	1
336	1
337	2
338	1
339	1
340	1
341	2
342	1
343	1
344	2
345	4
347	2
348	1
349	1
362	1
365	1
369	1
373	1
374	1
375	1
379	1
382	1
386	1
409	1
428	1
431	1
437	1
438	1
486	1
516	1
573	1
610	1
623	1
697	1
773	1
847	1
