#Mean	360.506
#Median	311
#Mode	330
#STDev	174.437
#PercentOfPairs	0.052
#InsertSize	Count
86	1
103	1
109	1
119	1
125	1
140	3
141	2
142	2
145	3
147	2
148	2
150	1
151	2
152	3
153	3
155	1
156	4
157	2
159	8
160	5
161	4
162	1
163	6
164	1
165	6
166	1
167	11
168	6
169	6
170	3
171	4
172	3
173	3
174	6
175	7
176	9
177	4
178	10
179	5
180	4
181	4
182	8
183	10
184	2
185	11
186	2
187	2
188	3
189	6
190	17
191	3
192	9
193	7
194	14
195	8
196	3
197	6
198	2
199	12
200	3
201	4
202	9
203	4
204	7
205	6
206	6
207	13
208	7
209	8
210	6
211	5
212	3
213	7
214	8
215	8
216	4
217	14
218	10
219	8
220	9
221	10
222	4
223	5
224	8
225	7
226	3
227	4
228	4
229	6
230	3
231	12
232	5
233	7
234	4
235	11
236	6
237	4
238	8
239	5
240	5
241	6
242	6
243	6
244	12
245	6
246	4
247	5
248	7
249	5
250	3
251	6
252	4
253	4
254	6
255	4
256	9
257	6
258	5
259	8
260	3
261	3
262	4
263	14
264	5
265	3
266	4
268	6
269	2
270	4
271	3
272	7
273	11
274	4
275	7
276	1
277	7
278	5
279	5
280	5
281	8
282	8
283	2
284	3
285	2
286	2
287	3
288	5
289	4
290	5
291	5
292	3
293	4
294	2
295	1
296	10
297	6
298	3
299	3
300	1
301	6
302	2
303	4
304	16
305	4
306	4
307	4
308	5
309	6
310	3
311	7
312	5
313	9
314	5
315	8
316	7
317	2
318	7
319	9
320	6
321	4
322	3
323	1
324	5
325	2
326	2
327	1
328	4
329	4
330	17
331	5
332	4
333	2
334	1
335	8
336	5
337	4
338	2
339	6
340	3
341	7
342	5
343	7
344	5
345	4
346	3
347	8
348	4
349	1
351	2
354	2
355	1
356	6
357	1
358	2
359	6
360	3
361	2
362	2
363	4
364	2
365	2
366	6
367	2
368	1
370	1
371	7
372	2
376	3
377	6
378	1
379	7
380	1
381	1
382	4
383	9
384	3
385	4
386	2
387	2
388	4
390	2
393	4
394	2
396	3
397	2
398	6
399	2
401	3
403	2
404	3
405	3
407	1
408	2
409	4
410	5
411	4
412	3
413	6
414	2
415	2
416	3
418	3
419	1
420	3
421	2
422	4
423	2
424	1
425	3
426	1
428	3
429	3
430	6
431	1
432	5
433	2
435	1
438	4
440	1
441	2
442	1
443	4
444	7
445	1
446	9
447	1
448	5
449	6
450	3
452	3
453	1
454	5
455	2
456	1
458	3
459	1
460	4
461	4
462	7
463	4
465	4
466	1
467	4
468	1
469	5
470	2
471	4
472	3
473	3
476	3
477	1
478	1
479	2
480	3
481	3
483	3
484	3
485	4
486	7
489	6
490	2
491	3
492	5
493	5
494	5
496	2
497	5
499	1
500	3
502	2
503	3
504	2
505	2
506	2
509	1
511	2
516	2
518	1
519	2
520	1
523	1
524	4
525	4
526	3
527	1
528	1
529	2
530	1
531	1
535	1
537	2
538	2
539	1
540	1
541	3
544	2
545	2
546	1
547	2
549	4
551	3
552	4
553	3
554	2
555	1
557	3
559	3
560	1
561	3
562	2
563	3
564	6
565	1
568	1
569	1
570	1
572	1
573	2
574	3
575	1
576	2
577	6
578	1
579	1
580	2
583	4
585	1
588	2
589	2
590	2
591	1
594	6
595	2
596	1
598	2
600	3
601	1
605	1
606	2
609	1
611	4
616	1
618	1
619	5
620	1
621	1
624	1
626	1
627	1
628	1
630	2
631	2
632	1
633	1
635	1
637	4
638	1
639	2
642	1
643	1
645	1
646	1
647	1
650	1
651	3
652	1
656	3
657	1
658	2
660	1
662	1
663	4
664	1
666	1
667	2
668	1
670	2
671	5
673	3
674	2
675	1
676	1
681	1
684	2
685	2
689	1
690	3
692	2
697	2
698	3
699	1
700	1
701	1
703	2
707	1
708	3
710	4
713	1
716	2
718	2
720	1
721	1
723	1
726	1
732	2
735	1
738	1
743	2
745	1
746	1
747	3
748	2
750	2
756	1
757	1
758	1
759	1
762	1
771	1
774	1
776	1
777	2
778	1
779	1
781	2
787	2
794	1
797	1
802	1
803	1
804	1
805	1
811	1
814	1
819	1
820	1
821	1
829	1
830	1
834	1
840	1
843	1
844	1
849	2
852	1
860	1
861	1
867	1
868	1
872	3
876	1
883	1
886	1
887	1
888	1
896	2
898	1
899	1
919	1
926	1
928	1
931	1
942	1
953	1
960	1
966	1
970	1
984	1
1015	1
1028	1
1181	1
