#Mean	358.502
#Median	359
#Mode	339
#STDev	50.508
#PercentOfPairs	1.011
#InsertSize	Count
48	1
50	1
55	1
68	1
69	2
74	1
76	1
84	1
87	1
90	1
91	1
92	1
98	1
101	1
103	1
104	1
106	2
109	1
112	1
116	1
117	1
119	1
120	1
122	1
124	2
125	2
126	2
127	3
128	4
129	2
130	2
131	4
132	6
133	6
134	7
135	8
136	9
137	6
138	9
139	7
140	9
141	11
142	11
143	13
144	11
145	11
146	12
147	8
148	13
149	16
150	10
151	11
152	11
153	12
154	16
155	9
156	11
157	9
158	13
159	13
160	8
161	9
162	11
163	5
164	10
165	8
166	9
167	8
168	17
169	7
170	11
171	14
172	13
173	10
174	12
175	16
176	7
177	5
178	13
179	13
180	12
181	7
182	8
183	11
184	14
185	13
186	7
187	17
188	22
189	10
190	8
191	15
192	12
193	12
194	10
195	8
196	5
197	17
198	7
199	15
200	8
201	10
202	12
203	10
204	13
205	7
206	8
207	13
208	14
209	9
210	16
211	17
212	13
213	18
214	9
215	10
216	11
217	11
218	17
219	7
220	17
221	15
222	13
223	15
224	17
225	10
226	11
227	9
228	14
229	12
230	15
231	13
232	15
233	8
234	14
235	13
236	14
237	15
238	15
239	10
240	17
241	8
242	11
243	12
244	19
245	9
246	13
247	13
248	11
249	16
250	16
251	9
252	10
253	10
254	9
255	6
256	10
257	17
258	15
259	12
260	16
261	13
262	13
263	7
264	7
265	7
266	10
267	8
268	14
269	21
270	11
271	9
272	13
273	16
274	15
275	24
276	12
277	8
278	9
279	14
280	20
281	24
282	26
283	14
284	23
285	14
286	25
287	16
288	19
289	27
290	15
291	16
292	20
293	28
294	15
295	18
296	26
297	25
298	25
299	24
300	34
301	26
302	43
303	29
304	30
305	48
306	47
307	53
308	50
309	54
310	77
311	76
312	93
313	92
314	94
315	122
316	122
317	139
318	147
319	167
320	180
321	221
322	218
323	231
324	267
325	288
326	312
327	286
328	314
329	307
330	343
331	389
332	400
333	389
334	415
335	423
336	423
337	435
338	442
339	480
340	451
341	436
342	431
343	458
344	445
345	445
346	477
347	454
348	426
349	441
350	423
351	423
352	423
353	429
354	398
355	397
356	430
357	411
358	435
359	390
360	355
361	379
362	385
363	359
364	397
365	355
366	337
367	322
368	354
369	377
370	342
371	345
372	377
373	344
374	296
375	335
376	318
377	297
378	328
379	365
380	273
381	293
382	291
383	274
384	287
385	321
386	280
387	278
388	285
389	295
390	268
391	255
392	274
393	243
394	253
395	272
396	262
397	270
398	240
399	212
400	229
401	245
402	221
403	239
404	213
405	190
406	214
407	180
408	202
409	196
410	189
411	170
412	193
413	161
414	177
415	177
416	158
417	172
418	149
419	162
420	138
421	124
422	122
423	112
424	109
425	107
426	88
427	99
428	75
429	83
430	97
431	56
432	87
433	58
434	64
435	55
436	51
437	44
438	41
439	35
440	30
441	26
442	28
443	25
444	18
445	34
446	16
447	19
448	18
449	18
450	12
451	12
452	8
453	4
454	5
455	3
456	6
457	5
458	5
459	8
460	6
461	7
462	3
463	5
464	6
465	3
466	4
467	6
468	5
469	1
470	3
471	4
472	3
473	3
474	6
475	3
477	4
478	3
479	2
480	1
481	5
482	2
483	4
484	1
485	3
486	2
487	6
488	2
489	5
490	3
491	3
493	2
494	1
495	1
496	2
497	1
498	4
499	4
500	3
501	4
502	2
503	5
504	2
505	2
506	6
507	2
508	7
509	4
510	1
511	3
512	1
513	4
514	1
515	2
517	2
518	1
519	1
520	4
521	4
522	3
523	2
524	1
525	3
526	1
527	2
528	1
529	2
532	1
533	1
534	1
535	3
536	2
537	2
538	2
539	1
540	3
541	1
543	5
545	2
546	2
548	1
549	2
550	2
551	2
555	1
557	1
558	1
559	2
560	2
562	3
563	4
566	1
568	1
570	2
571	1
572	1
573	1
574	2
575	1
577	1
579	1
584	1
585	1
586	3
587	1
588	1
590	1
591	1
593	2
596	1
597	3
598	1
599	1
601	1
603	3
605	1
606	1
607	1
609	1
610	1
611	1
612	2
613	1
614	1
615	1
616	1
618	4
620	2
622	1
626	2
630	1
631	2
632	1
633	1
636	2
637	1
640	1
641	1
642	1
643	1
647	1
648	1
655	1
663	1
669	2
676	1
682	1
703	1
706	1
710	1
719	1
726	1
743	1
817	1
1382	1
1638	1
