#Mean	359.293
#Median	359
#Mode	347
#STDev	60.359
#PercentOfPairs	1.547
#InsertSize	Count
35	1
38	1
55	2
56	2
64	1
71	1
73	1
75	2
81	1
87	2
89	1
90	1
91	2
93	1
94	1
98	3
99	1
100	1
103	1
104	1
105	1
110	2
112	1
115	1
118	1
119	1
121	2
122	3
123	2
125	1
126	1
127	2
128	4
129	5
130	8
131	5
132	8
133	6
134	11
135	8
136	11
137	8
138	11
139	10
140	13
141	7
142	9
143	20
144	15
145	9
146	16
147	17
148	17
149	18
150	28
151	17
152	10
153	9
154	17
155	11
156	13
157	13
158	18
159	16
160	16
161	12
162	15
163	12
164	26
165	11
166	20
167	17
168	22
169	20
170	24
171	13
172	18
173	15
174	14
175	18
176	33
177	17
178	17
179	15
180	15
181	18
182	11
183	17
184	16
185	20
186	18
187	14
188	13
189	12
190	14
191	12
192	15
193	19
194	14
195	23
196	14
197	16
198	12
199	22
200	16
201	18
202	15
203	18
204	12
205	21
206	20
207	21
208	15
209	14
210	17
211	18
212	23
213	19
214	18
215	24
216	12
217	13
218	16
219	25
220	14
221	21
222	13
223	20
224	16
225	16
226	17
227	13
228	20
229	13
230	20
231	13
232	17
233	10
234	22
235	17
236	18
237	18
238	14
239	20
240	8
241	21
242	21
243	18
244	14
245	15
246	21
247	16
248	14
249	16
250	12
251	11
252	25
253	20
254	16
255	15
256	14
257	12
258	18
259	15
260	12
261	20
262	24
263	23
264	18
265	12
266	14
267	15
268	20
269	10
270	13
271	24
272	17
273	15
274	24
275	17
276	23
277	23
278	19
279	25
280	24
281	21
282	18
283	21
284	26
285	22
286	19
287	20
288	33
289	30
290	33
291	20
292	22
293	17
294	30
295	36
296	37
297	33
298	42
299	31
300	26
301	45
302	28
303	43
304	44
305	44
306	52
307	59
308	62
309	77
310	64
311	94
312	96
313	106
314	140
315	131
316	141
317	159
318	159
319	233
320	224
321	269
322	247
323	296
324	317
325	350
326	363
327	418
328	430
329	435
330	452
331	440
332	448
333	502
334	480
335	506
336	472
337	536
338	520
339	512
340	515
341	535
342	511
343	540
344	532
345	527
346	545
347	547
348	510
349	517
350	520
351	512
352	499
353	479
354	494
355	503
356	481
357	516
358	446
359	449
360	435
361	451
362	472
363	449
364	417
365	430
366	437
367	436
368	427
369	401
370	420
371	392
372	374
373	446
374	398
375	381
376	381
377	373
378	395
379	364
380	350
381	379
382	366
383	322
384	369
385	353
386	330
387	324
388	340
389	310
390	320
391	313
392	334
393	308
394	285
395	281
396	286
397	295
398	304
399	266
400	255
401	276
402	235
403	257
404	269
405	283
406	238
407	260
408	240
409	223
410	235
411	202
412	216
413	211
414	195
415	207
416	175
417	167
418	166
419	155
420	166
421	132
422	140
423	140
424	131
425	154
426	110
427	99
428	90
429	86
430	95
431	99
432	94
433	77
434	75
435	56
436	73
437	48
438	59
439	46
440	52
441	47
442	45
443	36
444	34
445	26
446	14
447	25
448	20
449	20
450	19
451	10
452	8
453	13
454	13
455	12
456	7
457	10
458	3
459	10
460	3
461	7
462	6
463	9
464	10
465	9
466	4
467	9
468	5
469	3
470	8
471	6
472	5
473	8
474	2
475	7
476	5
477	2
478	5
479	6
480	4
481	2
482	5
483	6
484	5
485	2
486	4
487	3
488	7
489	5
490	4
491	4
492	8
493	7
494	6
495	6
496	9
497	6
498	9
499	8
500	5
501	6
502	7
503	3
504	4
505	8
506	2
507	6
508	4
509	7
510	5
511	3
512	3
513	1
514	1
515	4
516	4
517	3
518	5
519	5
520	4
521	7
522	6
523	3
525	2
526	1
527	1
529	2
530	4
531	3
532	2
533	6
534	3
535	4
536	4
537	5
538	7
539	2
540	5
541	2
542	2
543	2
544	1
545	5
546	1
547	3
548	2
549	6
550	2
551	4
552	1
553	2
554	4
555	4
556	3
557	1
558	4
559	4
560	3
561	2
562	5
563	4
564	5
565	6
566	3
567	3
568	1
569	5
570	3
571	6
575	2
576	1
577	2
578	1
580	4
581	1
582	3
583	3
584	2
585	3
586	1
587	2
588	2
589	3
590	1
591	1
592	2
593	2
594	4
595	6
596	1
598	2
600	2
601	5
602	1
603	1
604	1
606	1
607	1
608	7
609	2
611	2
612	1
613	1
614	2
616	2
617	2
618	1
619	1
620	2
621	3
622	1
623	5
624	4
625	3
626	3
628	2
629	2
630	3
632	5
634	1
635	2
636	1
637	2
639	1
641	1
642	1
643	1
645	1
646	1
648	1
649	3
650	2
652	4
653	2
656	1
657	3
658	3
660	1
662	1
664	1
665	1
666	4
667	3
668	2
669	1
670	2
672	6
674	1
677	2
679	1
681	1
682	2
683	2
684	2
688	3
689	1
691	2
693	1
694	1
696	4
698	1
699	2
700	2
703	2
705	3
706	1
708	1
711	4
712	2
713	1
714	1
716	2
717	1
720	1
722	3
723	1
726	2
732	2
736	1
737	3
738	3
742	1
745	1
747	1
748	1
749	1
753	1
754	1
755	1
758	1
759	1
760	1
767	1
771	1
784	1
791	2
797	1
799	1
806	3
807	1
816	2
817	1
818	1
823	1
832	1
838	1
839	2
840	2
842	1
843	1
845	3
846	1
851	1
854	1
862	1
866	1
868	1
873	1
878	1
897	1
901	1
905	1
908	1
910	1
915	1
928	1
936	1
941	2
949	2
955	1
972	1
1005	1
1027	1
1062	1
1153	1
3742	1
