#Mean	358.708
#Median	359
#Mode	346
#STDev	60.423
#PercentOfPairs	1.267
#InsertSize	Count
10	1
56	1
57	1
58	1
60	1
71	1
74	1
76	1
81	2
84	1
91	2
94	1
95	1
101	1
102	1
105	1
106	1
109	1
111	1
113	1
114	1
119	1
120	3
121	1
122	3
126	2
127	4
128	1
129	3
130	4
131	6
132	1
133	4
134	6
135	3
136	8
137	9
138	8
139	6
140	12
141	15
142	10
143	14
144	12
145	13
146	17
147	17
148	5
149	19
150	10
151	12
152	14
153	14
154	13
155	13
156	12
157	10
158	13
159	14
160	11
161	15
162	9
163	9
164	10
165	8
166	15
167	9
168	15
169	13
170	6
171	10
172	13
173	13
174	19
175	12
176	8
177	17
178	4
179	12
180	10
181	12
182	11
183	8
184	19
185	9
186	11
187	14
188	13
189	8
190	10
191	14
192	13
193	18
194	17
195	10
196	14
197	8
198	10
199	13
200	16
201	15
202	15
203	14
204	8
205	16
206	14
207	13
208	13
209	11
210	5
211	19
212	19
213	19
214	16
215	18
216	24
217	12
218	16
219	15
220	7
221	9
222	13
223	14
224	14
225	14
226	17
227	15
228	11
229	15
230	14
231	11
232	18
233	12
234	12
235	18
236	13
237	16
238	15
239	13
240	12
241	21
242	13
243	14
244	11
245	13
246	14
247	14
248	20
249	12
250	13
251	13
252	16
253	25
254	14
255	14
256	17
257	12
258	14
259	6
260	19
261	19
262	21
263	15
264	15
265	16
266	15
267	29
268	15
269	26
270	17
271	17
272	9
273	26
274	14
275	14
276	15
277	19
278	16
279	11
280	18
281	14
282	16
283	14
284	14
285	15
286	19
287	20
288	19
289	17
290	11
291	24
292	17
293	24
294	13
295	22
296	19
297	20
298	29
299	35
300	26
301	24
302	36
303	39
304	38
305	40
306	50
307	53
308	49
309	57
310	61
311	71
312	92
313	98
314	119
315	126
316	111
317	150
318	171
319	179
320	208
321	210
322	224
323	267
324	255
325	243
326	333
327	347
328	329
329	339
330	406
331	396
332	410
333	449
334	399
335	440
336	461
337	435
338	449
339	488
340	491
341	443
342	487
343	474
344	469
345	449
346	494
347	445
348	421
349	477
350	436
351	436
352	444
353	405
354	405
355	434
356	403
357	413
358	442
359	397
360	369
361	403
362	414
363	375
364	376
365	373
366	337
367	358
368	347
369	395
370	348
371	361
372	355
373	351
374	383
375	345
376	351
377	326
378	354
379	317
380	325
381	293
382	312
383	324
384	301
385	299
386	267
387	282
388	305
389	260
390	264
391	280
392	251
393	318
394	207
395	286
396	253
397	279
398	271
399	230
400	258
401	248
402	242
403	235
404	255
405	256
406	225
407	204
408	200
409	209
410	197
411	189
412	193
413	179
414	163
415	164
416	156
417	146
418	144
419	148
420	136
421	140
422	109
423	128
424	124
425	110
426	95
427	97
428	99
429	92
430	85
431	79
432	78
433	41
434	51
435	47
436	65
437	52
438	46
439	54
440	42
441	33
442	39
443	30
444	23
445	24
446	14
447	14
448	16
449	13
450	15
451	5
452	13
453	11
454	9
455	8
456	5
457	10
458	1
459	5
460	5
461	7
462	7
463	5
464	4
465	4
466	6
467	4
468	2
469	3
470	6
471	2
472	6
473	5
474	8
475	6
476	4
477	4
478	2
480	5
481	5
482	4
483	3
484	2
485	5
486	5
487	3
488	3
489	4
490	5
491	6
492	4
493	5
494	5
495	3
496	1
497	2
498	1
499	1
500	4
501	7
502	2
503	2
504	4
505	3
506	5
507	2
508	3
509	2
510	3
511	2
512	2
515	1
516	3
517	2
518	1
519	3
520	1
521	2
522	4
523	2
525	2
526	4
527	1
528	3
529	1
530	4
531	2
532	4
533	3
535	3
536	1
537	2
538	3
539	2
540	3
542	3
543	1
544	1
548	1
550	2
551	1
552	1
553	3
554	3
556	2
558	1
560	4
561	3
562	1
563	1
564	4
565	4
568	1
569	1
571	1
572	2
573	2
575	1
576	1
577	1
578	2
579	5
580	1
581	1
582	1
585	1
587	1
588	2
591	2
592	1
593	1
594	1
595	2
597	2
599	1
602	1
603	3
605	1
606	1
607	1
608	1
610	3
611	2
612	1
613	2
614	1
615	1
619	1
621	1
622	1
623	2
624	2
626	1
627	1
629	2
630	1
632	1
636	1
640	1
642	1
645	1
649	1
650	1
655	2
658	1
659	1
663	1
666	1
669	2
674	1
676	1
680	1
689	1
690	1
700	1
708	1
709	1
716	1
717	1
727	1
740	1
741	1
747	1
769	1
784	1
787	1
807	1
813	1
826	1
827	1
828	2
853	1
857	1
860	2
906	1
925	1
929	1
1028	1
1117	1
1231	1
1602	1
2730	1
2858	1
2978	1
4384	1
