#Mean	368.149
#Median	357
#Mode	342
#STDev	120.931
#PercentOfPairs	1.148
#InsertSize	Count
40	1
44	1
56	1
79	1
85	1
87	2
88	1
89	1
91	1
92	1
95	2
96	1
99	3
100	2
101	1
104	1
108	3
109	1
111	3
113	1
116	1
119	1
121	3
122	2
124	1
125	1
126	1
127	3
128	2
129	4
130	6
131	6
132	7
133	5
134	12
135	5
136	5
137	10
138	13
139	10
140	18
141	17
142	13
143	17
144	14
145	23
146	24
147	27
148	14
149	33
150	25
151	31
152	26
153	40
154	20
155	24
156	25
157	28
158	17
159	20
160	40
161	22
162	20
163	36
164	24
165	33
166	31
167	43
168	55
169	41
170	44
171	37
172	43
173	44
174	42
175	45
176	41
177	47
178	52
179	48
180	48
181	40
182	50
183	27
184	51
185	38
186	50
187	50
188	40
189	47
190	40
191	45
192	65
193	45
194	62
195	60
196	48
197	34
198	52
199	64
200	55
201	36
202	55
203	48
204	56
205	31
206	50
207	55
208	54
209	52
210	55
211	47
212	47
213	58
214	59
215	60
216	58
217	59
218	71
219	54
220	59
221	58
222	58
223	40
224	66
225	77
226	41
227	56
228	47
229	49
230	34
231	51
232	61
233	57
234	51
235	59
236	44
237	38
238	46
239	61
240	38
241	60
242	54
243	41
244	55
245	45
246	86
247	49
248	48
249	53
250	52
251	50
252	44
253	46
254	41
255	70
256	54
257	39
258	53
259	37
260	61
261	51
262	44
263	49
264	52
265	49
266	38
267	50
268	41
269	42
270	50
271	50
272	43
273	58
274	50
275	51
276	64
277	55
278	51
279	43
280	53
281	47
282	31
283	65
284	47
285	46
286	54
287	41
288	53
289	49
290	57
291	51
292	61
293	45
294	44
295	55
296	69
297	52
298	50
299	38
300	42
301	63
302	56
303	75
304	59
305	71
306	61
307	79
308	72
309	95
310	79
311	89
312	81
313	93
314	97
315	117
316	108
317	143
318	146
319	167
320	155
321	163
322	192
323	170
324	209
325	248
326	238
327	230
328	249
329	292
330	291
331	290
332	299
333	309
334	322
335	318
336	316
337	344
338	298
339	327
340	330
341	334
342	345
343	327
344	312
345	332
346	304
347	282
348	335
349	339
350	332
351	333
352	281
353	324
354	293
355	295
356	319
357	302
358	294
359	288
360	286
361	285
362	288
363	239
364	305
365	260
366	290
367	262
368	274
369	286
370	257
371	277
372	253
373	250
374	246
375	244
376	264
377	231
378	231
379	237
380	237
381	202
382	227
383	230
384	205
385	215
386	237
387	211
388	225
389	212
390	225
391	211
392	191
393	200
394	195
395	202
396	194
397	184
398	186
399	179
400	176
401	195
402	186
403	178
404	166
405	175
406	172
407	182
408	169
409	148
410	149
411	150
412	145
413	130
414	142
415	116
416	150
417	122
418	110
419	99
420	121
421	107
422	101
423	103
424	102
425	88
426	101
427	86
428	78
429	61
430	75
431	60
432	77
433	64
434	61
435	56
436	52
437	50
438	47
439	60
440	39
441	43
442	35
443	40
444	47
445	47
446	40
447	33
448	24
449	22
450	29
451	23
452	23
453	26
454	22
455	37
456	19
457	25
458	13
459	20
460	21
461	26
462	17
463	23
464	24
465	20
466	24
467	30
468	20
469	20
470	15
471	15
472	23
473	27
474	18
475	16
476	21
477	19
478	23
479	23
480	25
481	18
482	26
483	19
484	20
485	16
486	27
487	13
488	18
489	24
490	21
491	12
492	9
493	10
494	11
495	11
496	20
497	18
498	22
499	14
500	15
501	17
502	11
503	19
504	19
505	14
506	25
507	20
508	20
509	18
510	26
511	20
512	8
513	7
514	22
515	14
516	20
517	25
518	21
519	23
520	11
521	26
