#name	%unambiguousReads	unambiguousMB	%ambiguousReads	ambiguousMB	unambiguousReads	ambiguousReads
chr2	0.01996	0.18704	0.00043	0.00405	1240	27
chr1	0.01920	0.17972	0.00214	0.02001	1193	133
chr3	0.01501	0.14068	0.00006	0.00060	933	4
chr4	0.01320	0.12365	0.00011	0.00101	820	7
chr5	0.01112	0.10408	0.00016	0.00151	691	10
chr6	0.01093	0.10240	0.00000	0.00000	679	0
chr7	0.01086	0.10181	0.00013	0.00121	675	8
chr10	0.01085	0.10166	0.00045	0.00418	674	28
chr8	0.00945	0.08835	0.00018	0.00166	587	11
chrX	0.00935	0.08762	0.00064	0.00600	581	40
chr12	0.00885	0.08294	0.00003	0.00030	550	2
chr11	0.00872	0.08154	0.00018	0.00166	542	11
chr13	0.00716	0.06716	0.00000	0.00000	445	0
chr9	0.00715	0.06693	0.00032	0.00290	444	20
chr15	0.00671	0.06282	0.00031	0.00284	417	19
chr14	0.00600	0.05625	0.00008	0.00075	373	5
chr16	0.00595	0.05574	0.00047	0.00438	370	29
chr20	0.00476	0.04456	0.00000	0.00000	296	0
chr18	0.00457	0.04273	0.00010	0.00091	284	6
chr17	0.00444	0.04149	0.00010	0.00091	276	6
chr19	0.00286	0.02667	0.00000	0.00000	178	0
chr21	0.00208	0.01943	0.00003	0.00030	129	2
chr22	0.00188	0.01757	0.00000	0.00000	117	0
chrM	0.00003	0.00030	0.00000	0.00000	2	0
chrY	0.00002	0.00015	0.00002	0.00015	1	1
